;; -*- coding: utf-8-mcs-er -*-
U-00022090	𢂐	⿰巾劦
U-00022091	𢂑	⿰巾式
U-00022092	𢂒	⿰巾夷
U-00022093	𢂓	⿰巾同
U-00022094	𢂔	⿰巾共
U-00022095	𢂕	⿰巾危
U-00022096	𢂖	⿱北帀
U-00022097	𢂗	⿱印巾
U-00022098	𢂘	⿰巾全
U-00022099	𢂙	⿱㐬巾
U-0002209A	𢂚	⿱⿱亠日巾
U-0002209B	𢂛	⿰⿻巾一叐
U-0002209C	𢂜	⿱尹布
U-0002209D	𢂝	⿰巾曳
U-0002209E	𢂞	⿱⿱㐅㐅布
U-0002209F	𢂟	⿱𠬞⿱&CDP-8C78;巾
U-000220A0	𢂠	⿱⿱亡𫶧巾
U-000220A1	𢂡	⿰巾亘
U-000220A2	𢂢	⿰巾&AJ1-04061;
U-000220A3	𢂣	⿰巾存
U-000220A4	𢂤	⿰市犮
U-000220A5	𢂥	⿰巾列
U-000220A6	𢂦	⿱⿱⺊日巾
U-000220A7	𢂧	⿰巾任
U-000220A8	𢂨	⿱⿰⿱丿几⿱丿几巾
U-000220A9	𢂩	⿰巾⿱&MJ006463;巛
U-000220AA	𢂪	⿱⿱&MJ006463;巛巾
U-000220AB	𢂫	⿸尹⿱⺈巾
U-000220AC	𢂬	⿱奴⿱丿巾
U-000220AD	𢂭	⿱⿰丩又⿱龴巾
U-000220AE	𢂮	⿰巾⿱壬儿
U-000220AF	𢂯	⿱⿻十从巾
U-000220B0	𢂰	⿰巾争
U-000220B1	𢂱	⿰巾肙
U-000220B2	𢂲	⿰巾谷
U-000220B3	𢂳	⿰巾每
U-000220B4	𢂴	⿰巾志
U-000220B5	𢂵	⿰巾戒
U-000220B6	𢂶	⿰巾冏
U-000220B7	𢂷	⿰巿合
U-000220B8	𢂸	⿱&CDP-8C4B;帀
U-000220B9	𢂹	⿰巾皃
U-000220BA	𢂺	⿱𣦼巾
U-000220BB	𢂻	⿰巾&C1-4A36;
U-000220BC	𢂼	⿱折巾
U-000220BD	𢂽	⿰巾君
U-000220BE	𢂾	⿰巾&C1-4B41;
U-000220BF	𢂿	⿰巾夾
U-000220C0	𢃀	⿰巾巫
U-000220C1	𢃁	⿵⿱⿱丿&CDP-8BC0;冂⿱&CDP-89A6;巾
U-000220C2	𢃂	⿱奴⿱&CDP-89A6;巾
U-000220C3	𢃃	⿱助巾
U-000220C4	𢃄	⿱世⿱冖巾
U-000220C5	𢃅	⿰巾床
U-000220C6	𢃆	⿰君巾
U-000220C7	𢃇	⿰巾里
U-000220C8	𢃈	⿰巾弄
U-000220C9	𢃉	⿰巾别
U-000220CA	𢃊	⿰布司
U-000220CB	𢃋	⿱吅帀
U-000220CC	𢃌	⿱此布
U-000220CD	𢃍	⿰巾卑
U-000220CE	𢃎	⿰巾或
U-000220CF	𢃏	⿰巾宗
U-000220D0	𢃐	⿰巾空
U-000220D1	𢃑	⿰巾昌
U-000220D2	𢃒	⿰巾卒
U-000220D3	𢃓	⿰巾松
U-000220D4	𢃔	⿰巾炎
U-000220D5	𢃕	⿰巾沓
U-000220D6	𢃖	⿰巾周
U-000220D7	𢃗	⿰巾函
U-000220D8	𢃘	⿱&GT-16595;巾
U-000220D9	𢃙	⿰巾官
U-000220DA	𢃚	⿰巾昆
U-000220DB	𢃛	⿱甘⿵大巾
U-000220DC	𢃜	⿰巾直
U-000220DD	𢃝	⿱叔巾
U-000220DE	𢃞	⿰巾帚
U-000220DF	𢃟	⿰巾昔
U-000220E0	𢃠	⿰巾图
U-000220E1	𢃡	⿰巾易
U-000220E2	𢃢	⿰巾青
U-000220E3	𢃣	⿰巾取
U-000220E4	𢃤	⿱或巾
U-000220E5	𢃥	⿱臤巾
U-000220E6	𢃦	⿰巾果
U-000220E7	𢃧	⿰巾忩
U-000220E8	𢃨	⿰巾𢇻
U-000220E9	𢃩	⿰巾卷
U-000220EA	𢃪	⿱松巾
U-000220EB	𢃫	⿰巾匧
U-000220EC	𢃬	⿱前巾
U-000220ED	𢃭	⿰巾怱
U-000220EE	𢃮	⿰巾面
U-000220EF	𢃯	⿰巾癸
U-000220F0	𢃰	⿰巾是
U-000220F1	𢃱	⿰巾某
U-000220F2	𢃲	⿰巾革
U-000220F3	𢃳	⿰帚巴
U-000220F4	𢃴	⿱剌巾
U-000220F5	𢃵	⿱&CDP-8659;⿱⺈巾
U-000220F6	𢃶	⿰巾毒
U-000220F7	𢃷	⿱屾⿰巾巾
U-000220F8	𢃸	⿰巾秋
U-000220F9	𢃹	⿱&CDP-8BC0;⿵冂⿳八夂巾
U-000220FA	𢃺	⿰帛及
U-000220FB	𢃻	⿱⿰𬺻反巾
U-000220FC	𢃼	⿰巾眉
U-000220FD	𢃽	⿰巾要
U-000220FE	𢃾	⿰巾䙲
U-000220FF	𢃿	⿰巾柬
U-00022100	𢄀	⿱&CDP-8769;&CDP-8769;
U-00022101	𢄁	⿳业&GT-39640;巾
U-00022102	𢄂	⿱助市
U-00022103	𢄃	⿰巾&GT-22264;
U-00022104	𢄄	⿰⿱㞢巾且
U-00022105	𢄅	⿰巾⿹戈⿱一火
U-00022106	𢄆	⿱艸⿱宀巾
U-00022107	𢄇	⿰帛勾
U-00022108	𢄈	⿰巾音
U-00022109	𢄉	𢄉
U-0002210A	𢄊	⿰巾鬼
U-0002210B	𢄋	⿱𤇾巾
U-0002210C	𢄌	⿰巾殺
U-0002210D	𢄍	⿰巾盍
U-0002210E	𢄎	⿰巾旁
U-0002210F	𢄏	⿱𡨄巾
U-00022110	𢄐	⿰巾冡
U-00022111	𢄑	⿰巾帣
U-00022112	𢄒	⿰巾扇
U-00022113	𢄓	⿰巾烏
U-00022114	𢄔	⿱𠂉帶
U-00022115	𢄕	⿱⿱⿵𠆢亠⿶凵⿲丶㐅丶巾
U-00022116	𢄖	⿳由⿰&GT-00154;&CDP-88D5;巾
U-00022117	𢄗	⿰帛冋
U-00022118	𢄘	⿱逐巾
U-00022119	𢄙	⿰巾員
U-0002211A	𢄚	⿳𦥑夕巾
U-0002211B	𢄛	⿰巾𤾊?
U-0002211C	𢄜	⿰巾⿱龴⿴囗𢆉
U-0002211D	𢄝	⿰⿱白巾包
U-0002211E	𢄞	⿱敉巾
U-0002211F	𢄟	⿰巾通
U-00022120	𢄠	⿰巾&MJ007833;
U-00022121	𢄡	⿸𠩺巾
U-00022122	𢄢	⿱埶巾
U-00022123	𢄣	⿰巾彗
U-00022124	𢄤	⿱斬巾
U-00022125	𢄥	⿰⿳&AJ1-15391;⺈巾帇
U-00022126	𢄦	⿰巾鳥
U-00022127	𢄧	⿱族巾
U-00022128	𢄨	⿰巾寅
U-00022129	𢄩	⿰巾帶
U-0002212A	𢄪	⿰巾翏
U-0002212B	𢄫	⿰帝&MJ010776;
U-0002212C	𢄬	⿰⿱&CDP-8D52;巾⿱&CDP-8D52;巾
U-0002212D	𢄭	⿰巾習
U-0002212E	𢄮	⿰予⿱⿵冂人⿰彡巾
U-0002212F	𢄯	⿰巾敏
U-00022130	𢄰	⿰巾⿱⿱丿&CDP-85A7;𠮷
U-00022131	𢄱	⿰巾連
U-00022132	𢄲	⿱旋巾
U-00022133	𢄳	⿰巾奢
U-00022134	𢄴	⿰巾袲
U-00022135	𢄵	⿰巾象
U-00022136	𢄶	⿰巾畫
U-00022137	𢄷	⿰巾尞
U-00022138	𢄸	⿰巾最
U-00022139	𢄹	⿰巾喬
U-0002213A	𢄺	⿰巾焦
U-0002213B	𢄻	⿰巾散
U-0002213C	𢄼	⿱須巾
U-0002213D	𢄽	⿰巾貳
U-0002213E	𢄾	⿰⿱旦帀⿱夕巾
U-0002213F	𢄿	⿳&GT-K03592;石巾
U-00022140	𢅀	⿰巾覃
U-00022141	𢅁	⿰孚帛
U-00022142	𢅂	⿰巾𠷎
U-00022143	𢅃	⿰巾⿱⿱癶𠮛⿱丶几
U-00022144	𢅄	⿰罢布
U-00022145	𢅅	⿰巾厥
U-00022146	𢅆	⿰巾萌
U-00022147	𢅇	⿰⿱山巾⿱出毛
U-00022148	𢅈	⿱市⿰市市
U-00022149	𢅉	⿰帛皃
U-0002214A	𢅊	⿱無巾
U-0002214B	𢅋	⿰巾曾
U-0002214C	𢅌	⿱爲巾
U-0002214D	𢅍	⿱⿳士冖石⿱大巾
U-0002214E	𢅎	⿰巾敫
U-0002214F	𢅏	⿰巾廉
U-00022150	𢅐	⿰巾僉
U-00022151	𢅑	⿰巾煞
U-00022152	𢅒	⿰巾亶
U-00022153	𢅓	⿱⿳卝⺫戈巾
U-00022154	𢅔	⿰巾著
U-00022155	𢅕	⿰巾遂
U-00022156	𢅖	⿰巾亷
U-00022157	𢅗	⿰巾過
U-00022158	𢅘	⿰巾⿱&CDP-8D60;几
U-00022159	𢅙	⿰巾𧵩
U-0002215A	𢅚	⿰巾剽
U-0002215B	𢅛	⿰帝尨
U-0002215C	𢅜	⿰帚帚
U-0002215D	𢅝	⿱殿巾
U-0002215E	𢅞	⿰帛彔
U-0002215F	𢅟	⿰巾疑
U-00022160	𢅠	⿱厭巾
U-00022161	𢅡	⿰巾監
U-00022162	𢅢	⿰⿳山一帀叜
U-00022163	𢅣	⿰巾臺
U-00022164	𢅤	⿰巾蓋
U-00022165	𢅥	⿰巾㕑
U-00022166	𢅦	⿰帚是
U-00022167	𢅧	⿰巾綿
U-00022168	𢅨	⿺是帚
U-00022169	𢅩	⿰巾罷
U-0002216A	𢅪	⿰巾慼
U-0002216B	𢅫	⿰巾慧
U-0002216C	𢅬	⿰帛&MJ018173;
U-0002216D	𢅭	⿰巾賴
