;; -*- coding: utf-8-mcs-er -*-
U-0002F831	卿	⿲𠂎&C4-2278;卩
U-0002F832	卿	⿲𠂎&CDP-8C42;卩
U-0002F833	卿	⿰𠂎卽
U-0002F834	𠨬	⿸𠂆&AJ1-13523;
U-0002F835	灰	⿸厂火
U-0002F836	及	及
U-0002F837	叟	⿱申又
U-0002F838	𠭣	⿰⿱&AJ1-14521;𧰨又
U-0002F839	&C6-225B;	⿰口&AJ1-17237;
U-0002F83A	叱	⿰口匕
U-0002F83B	吆	⿰口么
U-0002F83C	咞	⿰口开
U-0002F83D	吸	⿰口及
U-0002F83E	呈	⿱口王
U-0002F83F	周	⿵⺆⿱&CDP-8BF1;口
U-0002F840	咢	⿱吅亐
U-0002F841	哶	⿰口𦍋
U-0002F842	唐	⿸广⿱&CDP-884D;口
U-0002F843	啓	⿱⿰戸攵口
U-0002F844	啣	⿰口&UU+7F37;
U-0002F845	善	⿱⿱羊&GT-39641;口
U-0002F846	善	⿱⿱𦍌⺾口
U-0002F847	喙	⿰口⿱&AJ1-14521;𧰨
U-0002F848	喫	⿰口⿱⿰龶刀大
U-0002F849	喳	⿰口査
U-0002F84A	嗂	⿰口&JX2-7461;
U-0002F84B	圖	⿴囗⿳厶十回
U-0002F84C	嘆	⿰口𦰩
U-0002F84D	圗	⿴囗⿳厶&AJ1-04110;囬
U-0002F84E	噑	⿰口⿳白⿲𠄠丨𠄠十
U-0002F84F	噴	⿰口賁
U-0002F850	切	⿰土刀
U-0002F851	壮	⿰丬土
U-0002F852	城	⿰土成
U-0002F853	埴	⿰土⿱匕⿺𠃊目
U-0002F854	堍	⿰土兔
U-0002F855	型	⿱𠛬土
U-0002F856	堲	⿱&AJ1-13365;土
U-0002F857	報	⿰&MJ010951;㞋
U-0002F858	墬	⿱⿰⻖⿱&AJ1-14521;𧰨土
U-0002F859	𡓤	⿰土&UU+477F;
U-0002F85A	売	⿱士&MJ007329;
U-0002F85B	壷	⿳士冖亞
U-0002F85C	夆	⿱夂&MJ006350;
U-0002F85D	多	多
U-0002F85E	夢	⿳&C6-333E;冖夕
U-0002F85F	奢	⿱大者
U-0002F860	𡚧	⿰女匕
U-0002F861	𡛪	⿰女𡯎
U-0002F862	姬	⿰女𦣝
U-0002F863	娛	⿰女&AJ1-01942;
U-0002F864	娧	⿰女兑
U-0002F865	姘	⿰女幷
U-0002F866	婦	⿰女⿳&AJ1-14521;冖巾
U-0002F867	㛮	⿰女⿳穴人又
U-0002F868	㛼	⿰女&CDP-8A48;
U-0002F869	嬈	⿰女⿱垚几
U-0002F86A	嬾	⿰女&AJ1-08627;
U-0002F86B	嬾	⿰女頼
U-0002F86C	𡧈	⿱宀亏
U-0002F86D	寃	⿱宀兔
U-0002F86E	寘	⿱宀&MJ018170;
U-0002F86F	寧	⿱⿳宀心罒丁
U-0002F870	寳	⿳宀⿰王尔貝
U-0002F871	𡬘	⿰&AJ1-18400;&MJ010213;
U-0002F872	寿	⿸&MJ006350;寸
U-0002F873	将	⿰丬⿱&CDP-88F0;寸
U-0002F874	当	⿱小&AJ1-14521;
U-0002F875	尢	尢
U-0002F876	㞁	⿺尢&C4-2278;
U-0002F877	屠	⿸尸者
U-0002F878	屮	⿻&AJ1-04248;丿
U-0002F879	峀	⿱山由
U-0002F87A	岍	⿰山幵
U-0002F87B	&C6-304E;	⿰山吳
U-0002F87C	嵃	⿰山彦
U-0002F87D	&C6-4835;	⿱&AJ1-13365;山
U-0002F87E	嵮	⿰山&MJ018170;
U-0002F87F	嵫	⿰山&MJ021826;
U-0002F880	嵼	⿰山産
U-0002F881	巡	⿺⻍巛
U-0002F882	巢	⿱巛⿻𦥑木
U-0002F883	㠯	㠯
U-0002F884	巽	⿱⿰巳巳共
U-0002F885	帨	⿰巾兑
U-0002F886	帽	⿰巾冒
U-0002F887	幩	⿰巾賁
U-0002F888	㡢	⿰巾⿱⿱冃罒方
U-0002F889	&C7-606E;	⿰巾⿳艹⿲止自巳⿱几夂
U-0002F88A	㡼	⿸广曳
U-0002F88B	庰	⿸广幷
U-0002F88C	庳	⿸广&MJ041343;
U-0002F88D	庶	⿸广⿱龷灬
U-0002F88E	廊	⿸广郞
U-0002F88F	&C5-455D;	⿸&AJ1-03729;&AJ1-03724;
U-0002F890	廾	⿰𠂇十
U-0002F891	𢌱	⿱&MJ006310;&MJ011120;
U-0002F892	𢌱	⿱&MJ006310;廾
U-0002F893	舁	⿱臼&MJ011120;
U-0002F894	弢	⿰弓⿱山又
U-0002F895	弢	⿰弓⿱屮又
U-0002F896	㣇	⿱⿱&AJ1-14521;&CDP-89A6;巾
U-0002F897	𣊸	⿰曶&GT-12511;
U-0002F898	𦇚	⿱彑⿰&C6-3360;&AJ1-02761;
U-0002F899	形	⿰幵彡
U-0002F89A	彫	⿰周彡
U-0002F89B	㣣	⿰彳㚒
U-0002F89C	徚	⿰彳東
U-0002F89D	忍	⿱刃心
U-0002F89E	志	⿱&CDP-8BF1;心
U-0002F89F	忹	⿰忄王
U-0002F8A0	&C6-3136;	⿰忄䏍
U-0002F8A1	㤺	⿰忄&GT-10950;
U-0002F8A2	㤜	⿰忄戌
U-0002F8A3	悔	⿰忄毎
U-0002F8A4	𢛔	⿰忄柬
U-0002F8A5	惇	⿰忄⿳&AJ1-04110;&CDP-89CC;子
U-0002F8A6	慈	⿱&MJ021826;心
U-0002F8A7	&U-0002F8A7;	⿰忄⿱⺾&C3-235B;
U-0002F8A8	慎	⿰忄&MJ018173;
