;; -*- coding: utf-8-mcs-er -*-
HZK10-A5A8	&HZK10-A5A8;	⿲⿳丷日小&B-ADB6;&B-A8A3;
HZK10-A5A9	&HZK10-A5A9;	⿰堯&B-E446;
HZK10-A5AA	&HZK10-A5AA;	⿰&B-C452;&B-A8A3;
HZK10-A5AB	&HZK10-A5AB;	⿰&GT-30443;&B-A8A3;
HZK10-A5AC	&HZK10-A5AC;	⿰丙丙&B-B3C0;&B-A8A3;
HZK10-A5AD	&HZK10-A5AD;	⿰&B-C646;&B-A8A3;
HZK10-A5C0	&HZK10-A5C0;	&B-F171;⿲&CDP-8877;&CDP-8877;&CDP-8877;&B-A8A3;
HZK10-A5C1	&HZK10-A5C1;	⿰&B-C646;&B-C4B1;
HZK10-C963	&HZK10-C963;	⿺⻍&B-A8A9;
HZK10-C964	&HZK10-C964;	⿺⻍⿱日夕
HZK10-C965	&HZK10-C965;	⿺⻍⿱水子
HZK10-C966	&HZK10-C966;	⿺⻍&GT-02006;
HZK10-A661	&HZK10-A661;	⿳&CDP-8B5B;一&B-A8BD;
HZK10-A662	&HZK10-A662;	⿰&B-A8BD;也
HZK10-A663	&HZK10-A663;	⿰少&B-A8BD;
HZK10-A664	&HZK10-A664;	⿱&CDP-8BE2;&B-A8BD;
HZK10-A665	&HZK10-A665;	⿰月&B-A8BD;
HZK10-A6C3	&HZK10-A6C3;	⿱𠙼&B-A8BD;
HZK10-A6C4	&HZK10-A6C4;	⿱必&B-A8BD;
HZK10-A6C5	&HZK10-A6C5;	⿳&GT-00375;从&B-A8BD;
HZK10-A6C6	&HZK10-A6C6;	⿱來&B-A8BD;
HZK10-A6C7	&HZK10-A6C7;	⿺是&B-A8BD;
HZK10-A6C8	&HZK10-A6C8;	⿰&B-ADAB;疌
HZK10-A6E3	&HZK10-A6E3;	⿱⿰&B-A8BD;&B-A8BD;𠮛
HZK10-C9C4	&HZK10-C9C4;	⿺⻍&GT-50811;
HZK10-C9C5	&HZK10-C9C5;	⿺⻍&CDP-8DA3;
HZK10-C9C6	&HZK10-C9C6;	⿺⻍𠂆&CDP-89ED;
HZK10-C9C8	&HZK10-C9C8;	⿺⻍希
HZK10-C9C9	&HZK10-C9C9;	⿺⻍&C1-492B;
HZK10-C9CA	&HZK10-C9CA;	⿺⻍𠯑
