;; -*- coding: utf-8-mcs-er -*-
U+F9DE	吏	⿰口
U+F9DF	履	⿰尸
U+F9E0	易	⿰日
U+F9E1	李	⿰木
U+F9E2	梨	⿰木
U+F9E3	泥	⿰水
U+F9E4	理	⿰玉
U+F9E5	痢	⿰疒
U+F9E6	罹	⿰网
U+F9E7	裏	⿰衣
U+F9E8	裡	⿰衣
U+F9E9	里	⿰里
U+F9EA	離	⿰隹
U+F9EB	匿	⿰匸
U+F9EC	溺	⿰水
U+F9ED	吝	⿰口
U+F9EE	燐	⿰火
U+F9EF	璘	⿰玉
U+F9F0	藺	⿰艸
U+F9F1	隣	⿰阜
U+F9F2	鱗	⿰魚
U+F9F3	麟	⿰鹿
U+F9F4	林	⿰木
U+F9F5	淋	⿰水
U+F9F6	臨	⿰臣
U+F9F7	立	⿰立
U+F9F8	笠	⿰竹
U+F9F9	粒	⿰米
U+F9FA	狀	⿰犬
U+F9FB	炙	⿰火
U+F9FC	識	⿰言
U+F9FD	什	⿰人
U+F9FE	茶	⿰艸
U+F9FF	刺	⿰刀
U+FA00	切	⿰刀
U+FA01	度	⿰广
U+FA02	拓	⿰手
U+FA03	糖	⿰米
U+FA04	宅	⿰宀
U+FA05	洞	⿰水
U+FA06	暴	⿰日
U+FA07	輻	⿰車
U+FA08	行	⿰行
U+FA09	降	⿰阜
U+FA0A	見	⿰見
U+FA0B	廓	⿰广
U+FA0C	兀	⿰儿
U+FA0D	嗀	⿰殳
U+FA10	塚	⿰土
U+FA12	晴	⿰日
U+FA15	凞	⿰火
U+FA16	猪	⿰犭者
U+FA17	益	⿱⿱⿱八一八皿
U+FA18	礼	⿰示乚
U+FA19	神	⿰示申
U+FA1A	祥	⿰示羊
U+FA1B	福	⿰示畐
U+FA1C	靖	⿰立靑
U+FA1D	精	⿰米
U+FA1E	羽	⿰羽
U+FA20	蘒	⿰艸
U+FA22	諸	⿰言
U+FA25	逸	⿺⻌&MJ007243;
U+FA26	都	⿰者⻏
U+FA2A	飯	⿰食
U+FA2B	飼	⿰食
U+FA2C	館	⿰⻞官
U+FA2D	鶴	⿰寉鳥
U+FACF	𢡊	⿰忄⿱⿰夭夭心
