;; -*- coding: utf-8-mcs-er -*-
HZK08-A5FA	&HZK08-A5FA;	⿱服虫
HZK08-A5FC	&HZK08-A5FC;	勹⿰虫虫
HZK08-A640	&HZK08-A640;	⿰虫匊
HZK08-A641	&HZK08-A641;	⿰虫&GT-00397;
HZK08-A643	&HZK08-A643;	⿰虫夜
HZK08-A644	&HZK08-A644;	⿰虫&GT-03504;
HZK08-A645	&HZK08-A645;	⿰虫&GT-11674;
HZK08-A646	&HZK08-A646;	⿰虫妾
HZK08-A647	&HZK08-A647;	⿰虫&M-23132;
HZK08-A648	&HZK08-A648;	⿰虫育
HZK08-A65B	&HZK08-A65B;	⿰虫丷&CDP-8BD9;
HZK08-A65C	&HZK08-A65C;	⿰虫炎
HZK08-A65D	&HZK08-A65D;	⿰虫&GT-08922;
HZK08-A65E	&HZK08-A65E;	⿰虫空
HZK08-A660	&HZK08-A660;	⿱&GT-08917;虫
HZK08-A664	&HZK08-A664;	⿰虫&GT-11133;
HZK08-A666	&HZK08-A666;	⿰虫屈
HZK08-A67C	&HZK08-A67C;	⿰虫虱
HZK08-A67D	&HZK08-A67D;	⿳刀⿰虫虫
HZK08-A67E	&HZK08-A67E;	⿰虫&M-03115;有
HZK08-A6A1	&HZK08-A6A1;	⿳厶⿰虫虫
HZK08-A6A3	&HZK08-A6A3;	⿰虫彔
HZK08-A6A5	&HZK08-A6A5;	⿰虫&CDP-88B0;
HZK08-A6A7	&HZK08-A6A7;	⿰虫某
HZK08-A6A8	&HZK08-A6A8;	⿰虫若
HZK08-A6A9	&HZK08-A6A9;	⿱若虫
HZK08-A6AA	&HZK08-A6AA;	⿱苗虫
HZK08-A6AC	&HZK08-A6AC;	⿰虫苶
HZK08-A6AD	&HZK08-A6AD;	⿱范虫
HZK08-A6BE	&HZK08-A6BE;	⿱茅虫
HZK08-A6BF	&HZK08-A6BF;	⿰虫⺾冖木
HZK08-A6C1	&HZK08-A6C1;	⿱&GT-37991;虫
HZK08-A6C2	&HZK08-A6C2;	⿳古㓁虫
HZK08-A6C5	&HZK08-A6C5;	⿰虫剌
HZK08-A6C7	&HZK08-A6C7;	⿰虫&GT-46811;
HZK08-A6C8	&HZK08-A6C8;	⿰虫&M-05041;
HZK08-A6C9	&HZK08-A6C9;	⿰虫柬
HZK08-A6CA	&HZK08-A6CA;	⿰虫咸
HZK08-A6CB	&HZK08-A6CB;	⿰虫厖
HZK08-A6DF	&HZK08-A6DF;	⿰虫𦣻凵
HZK08-A6E2	&HZK08-A6E2;	⿰虫奎
HZK08-A6E3	&HZK08-A6E3;	⿰虫奔
HZK08-A6E4	&HZK08-A6E4;	⿰虫殄
HZK08-A6E6	&HZK08-A6E6;	⿱北蚕
HZK08-A6E7	&HZK08-A6E7;	⿰虫&GT-29688;
HZK08-A6E9	&HZK08-A6E9;	⿰虫則
HZK08-C9BE	&HZK08-C9BE;	⿱⺮&GT-46405;
HZK08-C9BF	&HZK08-C9BF;	⿳⺮㓁剡
HZK08-C9C0	&HZK08-C9C0;	⿱⺮門幵
HZK08-C9C1	&HZK08-C9C1;	⿱⺮盡
HZK08-C9C2	&HZK08-C9C2;	⿱⺮墮
HZK08-C9C3	&HZK08-C9C3;	⿳⺮將廾
HZK08-C9C4	&HZK08-C9C4;	⿱⺮&B-E8AA;
HZK08-C9C5	&HZK08-C9C5;	⿱⺮&M-28739;
HZK08-C9C7	&HZK08-C9C7;	⿱⺮&GT-35504;
HZK08-C9C8	&HZK08-C9C8;	⿱⺮⿰&GT-35079;念
HZK08-C9C9	&HZK08-C9C9;	⿱⺮巛&CDP-8850;
HZK08-C9CA	&HZK08-C9CA;	⿱⺮&M-11116;
HZK08-C9CB	&HZK08-C9CB;	⿱⺮⿰⺘畱
HZK08-C9CC	&HZK08-C9CC;	⿱⺮⿰⺘㫺
HZK08-C9CD	&HZK08-C9CD;	⿱⺮樞
HZK08-C9CE	&HZK08-C9CE;	⿱⺮甎
HZK08-C9CF	&HZK08-C9CF;	⿱⺮&B-BDE5;
HZK08-C9D0	&HZK08-C9D0;	⿱⺮&K0-7443;
HZK08-C9D1	&HZK08-C9D1;	⿱⺮慮
HZK08-C9D2	&HZK08-C9D2;	⿱⿳⺮目大良
HZK08-C9D3	&HZK08-C9D3;	⿱篹皿
HZK08-C9D5	&HZK08-C9D5;	⿱⺮畾
HZK08-C9D6	&HZK08-C9D6;	⿳⺮典告
HZK08-C9D7	&HZK08-C9D7;	⿳⺮品𠇍
HZK08-C9DE	&HZK08-C9DE;	⿳⺮&GT-36329;剡
HZK08-C9DF	&HZK08-C9DF;	⿱⺮罷
HZK08-C9E0	&HZK08-C9E0;	⿱⺮幡
HZK08-C9E1	&HZK08-C9E1;	⿱⺮&B-BEA4;
HZK08-C9E2	&HZK08-C9E2;	⿳⺮敏心
HZK08-C9E3	&HZK08-C9E3;	⿱⺮&C4-4C62;
HZK08-C9E5	&HZK08-C9E5;	⿱⺮&B-BE7C;
HZK08-C9E6	&HZK08-C9E6;	⿱⺮⿰𠤕⿱&GT-00458;&GT-34594;
HZK08-C9E7	&HZK08-C9E7;	⿱⺮劉
HZK08-C9E8	&HZK08-C9E8;	⿱⺮皺
HZK08-C9E9	&HZK08-C9E9;	⿱⺮調
HZK08-C9EA	&HZK08-C9EA;	⿱⺮毅
HZK08-C9EB	&HZK08-C9EB;	⿱⺮&B-E8F0;
HZK08-C9EC	&HZK08-C9EC;	⿱⺮廢
HZK08-C9ED	&HZK08-C9ED;	⿱⺮&B-BE69;
HZK08-C9EE	&HZK08-C9EE;	⿱⺮⿰⺡畱
HZK08-C9F0	&HZK08-C9F0;	⿱⺮⿰⺡盜
HZK08-C9F1	&HZK08-C9F1;	⿳⺮浪皿
HZK08-C9F2	&HZK08-C9F2;	⿱⺮寫
HZK08-C9FE	&HZK08-C9FE;	⿱⺮&B-BE5B;
HZK08-CA40	&HZK08-CA40;	⿱⺮&B-C048;
HZK08-CA41	&HZK08-CA41;	⿱⺮槳
HZK08-CA42	&HZK08-CA42;	⿱⺮&B-C047;
HZK08-CA43	&HZK08-CA43;	⿱⺮嫴
HZK08-CA44	&HZK08-CA44;	⿱⺮𡡾
HZK08-CA45	&HZK08-CA45;	⿱⺮&GT-35595;
HZK08-CA46	&HZK08-CA46;	⿱⺮巛⿴囗㐅⿵⺇⺢
HZK08-CA47	&HZK08-CA47;	⿱⺮&B-C052;
HZK08-CA48	&HZK08-CA48;	⿱⺮&CDP-8C6A;&CDP-8CD0;
HZK08-CA4A	&HZK08-CA4A;	⿱⺮⿰⺘&GT-36329;&CDP-8ABA;
HZK08-CA4B	&HZK08-CA4B;	⿱⺮幸匊
HZK08-CA4C	&HZK08-CA4C;	⿱⺮&B-EAD1;
HZK08-CA4D	&HZK08-CA4D;	⿱⺮其𠫓木
HZK08-CA4E	&HZK08-CA4E;	⿱⺮燕
HZK08-CA4F	&HZK08-CA4F;	⿳⺮&CDP-85AB;廾
HZK08-CA50	&HZK08-CA50;	⿱⺮&GT-19987;
HZK08-CA52	&HZK08-CA52;	⿱⺮厤火
HZK08-CA53	&HZK08-CA53;	⿱⺮&CDP-8ABA;&GT-00458;&GT-34594;
HZK08-A6EC	&HZK08-A6EC;	⿰虫&M-24886;
HZK08-A6FD	&HZK08-A6FD;	⿰虫日皿
HZK08-A6FE	&HZK08-A6FE;	⿰虫星
HZK08-A741	&HZK08-A741;	⿰虫&M-13862;
HZK08-A742	&HZK08-A742;	⿰虫畏
HZK08-A744	&HZK08-A744;	⿰虫界
HZK08-A745	&HZK08-A745;	⿰虫思
HZK08-A746	&HZK08-A746;	⿰虫咢
HZK08-A747	&HZK08-A747;	⿳⿰口口大虫
HZK08-A748	&HZK08-A748;	⿰虫耑
HZK08-A749	&HZK08-A749;	⿰虫&GT-36329;水
HZK08-A74A	&HZK08-A74A;	⿰虫幽
HZK08-A74B	&HZK08-A74B;	⿰虫卸
HZK08-A75E	&HZK08-A75E;	⿱&GT-32162;虫
HZK08-A761	&HZK08-A761;	⿰虫臾
