;; -*- coding: utf-8-mcs-er -*-
HZK01-A975	&I-HZK01-A975;	⿰&CDP-88C7;甫
HZK01-A976	&I-HZK01-A976;	⿱不束
HZK01-A977	&I-HZK01-A977;	一句攵一
HZK01-A979	&I-HZK01-A979;	丅⺇&MJ010942;口
HZK01-A97A	&I-HZK01-A97A;	⿱&CDP-88E1;亚
HZK01-A97C	&I-HZK01-A97C;	⿱一凰
HZK01-A97D	&I-HZK01-A97D;	⿰&GT-27811;冘
HZK01-A9A1	&HZK01-A9A1;	⿱二圍
HZK01-A9A2	&I-HZK01-A9A2;	⿱&CDP-8DDD;𡆵
HZK01-A9A3	&I-HZK01-A9A3;	⿳𠮛冖亞
HZK01-A9B2	&HZK01-A9B2;	⿰&GT-27811;&CDP-85C1;
HZK01-A9B4	&I-HZK01-A9B4;	⿳&CDP-8DDD;冖亞
HZK01-A9D1	&I-HZK01-A9D1;	&CDP-8DF9;且
HZK01-AA56	&I-HZK01-AA56;	&CDP-8969;&CDP-89BC;𫩏
HZK01-AA59	&I-HZK01-AA59;	⿰&CDP-87E2;井
HZK01-AA72	&I-HZK01-AA72;	⿰串串
HZK01-AAD7	&I-HZK01-AAD7;	⿱丿&AJ1-02109;
HZK01-AAF9	&I-HZK01-AAF9;	乃一&CDP-8BA2;
HZK01-AAFB	&I-HZK01-AAFB;	⿲丿&CDP-89C2;乚
HZK01-AAFD	&I-HZK01-AAFD;	⿹&CDP-89DE;一
HZK01-CBB1	&HZK01-CBB1;	⿰⺅采
HZK01-CBB2	倊	⿰⺅忩
HZK01-CBCF	&I-HZK01-CBCF;	⿰⺅顷
HZK01-CBD0	&I-HZK01-CBD0;	⿰⺅昏
HZK01-CBD1	&I-HZK01-CBD1;	⿰⺅匋
HZK01-CBD2	&I-HZK01-CBD2;	⿰⺅备
HZK01-CBD3	&HZK01-CBD3;	⿰⺅咎
HZK01-CBD4	&HZK01-CBD4;	⿰⺅幷
HZK01-CBD6	&I-HZK01-CBD6;	⿰⺅㕻
HZK01-CBD8	&HZK01-CBD8;	⿰⺅广匕夂
HZK01-CBEF	&I-HZK01-CBEF;	⿰佼力
HZK01-CBF1	&HZK01-CBF1;	⿰⺅&HZK06-BFE2;
HZK01-CBF3	&HZK01-CBF3;	⿰⺅⿱𠫓木
HZK01-CBF4	&AJ1-21123;	⿰⺅育
HZK01-CC51	&HZK01-CC51;	⿰⺅泣
HZK01-CC55	&HZK01-CC55;	⿰⺅&I-HZK07-DE7C;
HZK01-CC57	&HZK01-CC57;	⿰⺅&G0-6C65;
HZK01-CC70	&HZK01-CC70;	
HZK01-CC74	&I-HZK01-CC74;	⿲⺅⿱&MJ006315;&MJ006315;
HZK01-CC75	&HZK01-CC75;	⿰⺅癸
HZK01-CC76	&I-HZK01-CC76;	⿰⺅幺月乚
HZK01-CC77	&I-HZK01-CC77;	⿰⺅⿱巛&CDP-8D62;
HZK01-CC78	&I-HZK01-CC78;	⿰⺅𠛱
HZK01-CC79	&I-HZK01-CC79;	⺿尸力人
HZK01-CC7A	&HZK01-CC7A;	𠆢丶目口
HZK01-CC7B	&I-HZK01-CC7B;	⿳&CDP-8AFC;⿰口口丂
HZK01-CC7C	&I-HZK01-CC7C;	⿱&AJ1-16836;&CDP-87C1;
HZK01-CCB2	&I-HZK01-CCB2;	由&CDP-8CAC;人
HZK01-CCB3	&I-HZK01-CCB3;	⿳𠆢肉土
HZK01-CCB4	&I-HZK01-CCB4;	⿱𠆢幽
HZK01-CCB5	&I-HZK01-CCB5;	⿳𠆢立水
HZK01-CCB6	&I-HZK01-CCB6;	⿳𠆢丷&CDP-884C;
HZK01-CCB7	&I-HZK01-CCB7;	⿳入⿰幺幺大
HZK01-CCBA	&I-HZK01-CCBA;	⿰⺅&AJ1-03231;
HZK01-CCBB	&I-HZK01-CCBB;	⿰⺅贲
HZK01-CCBC	&I-HZK01-CCBC;	⿰⺅壴
HZK01-CCBD	&I-HZK01-CCBD;	⿰⺅者
HZK01-CCBE	&I-HZK01-CCBE;	⿰⺅⿱⿰工几木
HZK01-CCC0	&C3-3449;	⿰⺅&GT-40205;
HZK01-CCD5	&I-HZK01-CCD5;	⿰⺅㪅
HZK01-CCF2	&I-HZK01-CCF2;	⿰⺅柬
HZK01-CCF3	&I-HZK01-CCF3;	⿰⺅&CDP-8558;
HZK01-CCF4	&I-HZK01-CCF4;	⿰⺅威
HZK01-CCF5	&I-HZK01-CCF5;	⿰⺅咸
HZK01-CCF6	&I-HZK01-CCF6;	⿰⺅&B-ADB6;
HZK01-CCF8	&I-HZK01-CCF8;	⿰⺅&JX2-7525;
HZK01-CCF9	&HZK01-CCF9;	⿰⺅⿱大&HD-KS-108170;
HZK01-CCFA	&I-HZK01-CCFA;	⿰俠刂
HZK01-CCFB	&I-HZK01-CCFB;	⿰⺅奓
HZK01-CCFC	&I-HZK01-CCFC;	⿰⺅𦚉
HZK01-CCFE	&I-HZK01-CCFE;	⿰⺅&HD-JA-4357;
HZK01-CD54	&I-HZK01-CD54;	⿸&MJ057582;&CDP-8958;
HZK01-CD55	&HZK01-CD55;	⿰⺅⺌一𠄠口
HZK01-CD57	&I-HZK01-CD57;	⿸⿰&CDP-8B7A;夂目
HZK01-CD58	&I-HZK01-CD58;	⿸⿰&CDP-8B7A;夂田
HZK01-CD59	&I-HZK01-CD59;	⿰⺅尝
HZK01-CD5A	&I-HZK01-CD5A;	⿰⺅狊
HZK01-CD5C	&HZK01-CD5C;	⿰⺅眇
HZK01-CD5D	&I-HZK01-CD5D;	⿲⺅目攵
HZK01-CD73	&I-HZK01-CD73;	⿰⺅昜
HZK01-CDB7	&I-HZK01-CDB7;	⿲⺅虫也
HZK01-CDB9	&I-HZK01-CDB9;	⿰⺅&AJ1-04376;
HZK01-CDBA	&I-HZK01-CDBA;	⿰⺅咢
HZK01-CDBB	&I-HZK01-CDBB;	⿰⺅⿱⿰口口兀
HZK01-CDBC	&I-HZK01-CDBC;	⿰⺅品
HZK01-CDBE	&I-HZK01-CDBE;	⿰⺅&I-CB07139;
HZK01-CDD5	&I-HZK01-CDD5;	⿲⺅𦈢刂
HZK01-CDD9	&I-HZK01-CDD9;	⿰⺅臾
HZK01-CDDA	&HZK01-CDDA;	⿰⺅叟
HZK01-AB56	&I-HZK01-AB56;	⿱丿夫
HZK01-AB77	&I-HZK01-AB77;	⿱丿&CDP-88B1;
HZK01-AB78	&I-HZK01-AB78;	⿱丿中
HZK01-AB7B	&I-HZK01-AB7B;	⿱丿兮
HZK01-ABB9	&I-HZK01-ABB9;	⿵⺇&CDP-8BF1;
HZK01-ABD7	&I-HZK01-ABD7;	⿱夭&CDP-89AB;
HZK01-ABDF	&I-HZK01-ABDF;	⿱丿𠕁
HZK01-ABE0	&I-HZK01-ABE0;	⿺⿱丿儿𠫔
HZK01-ABE1	&I-HZK01-ABE1;	⿱&CDP-8CAC;𫶧
HZK01-ABE2	&I-HZK01-ABE2;	⿱丿冊
HZK01-ABE3	&I-HZK01-ABE3;	⿰&CDP-8CAC;&CDP-8CAC;
HZK01-ABE6	&I-HZK01-ABE6;	⿳丿&CDP-87D8;一
HZK01-ABE7	&I-HZK01-ABE7;	⿴&CDP-8BF5;⿱土&CDP-8BF1;
HZK01-ABF7	&I-HZK01-ABF7;	⿱夭龰
HZK01-ABF8	&I-HZK01-ABF8;	⿱丿来
HZK01-ABF9	&I-HZK01-ABF9;	⿴&CDP-8BF5;⿱上&CDP-8BF1;
HZK01-ABFA	&I-HZK01-ABFA;	⿰爻爻
HZK01-ABFC	&HZK01-ABFC;	⿹&CDP-89DF;⿰一丿
HZK01-ABFD	&I-HZK01-ABFD;	⿰丿⿱幺&CDP-8958;
HZK01-AC40	&I-HZK01-AC40;	⿱夭𢆉
HZK01-AC43	&I-HZK01-AC43;	⿵凢⿱土廾
HZK01-AC46	&HZK01-AC46;	⿰爻且
HZK01-AC7B	&I-HZK01-AC7B;	⿳甶一&CDP-8CC6;
HZK01-AC7C	&I-HZK01-AC7C;	⿰𠂤不
HZK01-AC7D	&I-HZK01-AC7D;	⿱囟廿
HZK01-AC7E	&I-HZK01-AC7E;	⿱𠂹𠃌
HZK01-ACA1	&I-HZK01-ACA1;	⿳甶丿&CDP-8B67;
HZK01-ACBB	&HZK01-ACBB;	⿱&GT-01899;丘
HZK01-ACBC	&I-HZK01-ACBC;	⿰禹也
HZK01-ACBD	&I-HZK01-ACBD;	⿱&CDP-8CBB;甲
HZK01-ACC0	&HZK01-ACC0;	⿰&CDP-87FC;夬
HZK01-ACC5	&I-HZK01-ACC5;	&CDP-8DF6;丶
HZK01-AD5C	&I-HZK01-AD5C;	⿴&CDP-88BD;丶
HZK01-AD5D	&I-HZK01-AD5D;	⿴&CDP-89C6;丶
HZK01-AD7C	&I-HZK01-AD7C;	⿵&CDP-8BD6;&CDP-88C1;
HZK01-CDDE	&I-HZK01-CDDE;	⿰⺅侯
HZK01-CDDF	&I-HZK01-CDDF;	⿰⺅盾
HZK01-CDF5	&I-HZK01-CDF5;	⿰⺅⿱&CDP-8BFA;女
HZK01-CDF8	&I-HZK01-CDF8;	⿰⺅卻
HZK01-CDF9	&I-HZK01-CDF9;	⿰⺅&MJ016740;
HZK01-CDFB	&HZK01-CDFB;	⿰⺅&B-ADB9;
HZK01-CDFC	&HZK01-CDFC;	⿰⺅矦
HZK01-CE56	&I-HZK01-CE56;	⿰⺅㝁
HZK01-CE58	&I-HZK01-CE58;	⿰⺅怱
HZK01-CE5A	&I-HZK01-CE5A;	⿰⺅㚆
HZK01-CE5D	&I-HZK01-CE5D;	⿰⺅㡿
HZK01-CE5F	&HZK01-CE5F;	⿰⺅彥
HZK01-CE60	&I-HZK01-CE60;	⿰⺅帝
HZK01-CE76	&I-HZK01-CE76;	⿰⺅&MJ006340;
HZK01-CE77	&I-HZK01-CE77;	⿰⺅娄
HZK01-CE78	&MJ006889;	⿰⺅前
HZK01-CE7A	&I-HZK01-CE7A;	⿰⺅恒
HZK01-CE7B	&HZK01-CE7B;	⿰⺅宦
HZK01-CE7C	𠋢	⿰⺅叜
HZK01-CE7D	&HZK01-CE7D;	⿰⺅突
HZK01-CE7E	&I-HZK01-CE7E;	⿰⺅軍
HZK01-CEB8	&I-HZK01-CEB8;	⿰⺅&AJ1-15391;冖火
HZK01-CEFA	&I-HZK01-CEFA;	⿰⺅⿰弓弓一&GT-K00059;
HZK01-CEFC	&HZK01-CEFC;	⿰⺅胥
HZK01-CEFD	&I-HZK01-CEFD;	⿲⺅&CDP-8DF6;子
HZK01-CEFE	&HZK01-CEFE;	⿰⺅柔
HZK01-CF40	&I-HZK01-CF40;	⿲⺅矛攵
HZK01-CF41	&C3-3448;	⿰⺅彖
HZK01-CF42	&HZK01-CF42;	⿱入草
HZK01-CF43	&I-HZK01-CF43;	⿳&CDP-8AFC;从𠕁
HZK01-CF44	&I-HZK01-CF44;	&CDP-8DF6;介
HZK01-CF59	&I-HZK01-CF59;	⿳𠆢&CDP-8DF9;人几
HZK01-CF5A	&I-HZK01-CF5A;	⿱入桀
HZK01-CF5B	𩇰	⿳亠&B-AB44;人
HZK01-CF5F	&I-HZK01-CF5F;	⿰⺅王龴乛小
HZK01-CF7B	&I-HZK01-CF7B;	⿰⺅⿱&CDP-8CFA;木
HZK01-CF7C	&I-HZK01-CF7C;	⿰⺅⿹&CDP-8BDF;&CDP-8CB5;
HZK01-CF7D	&I-HZK01-CF7D;	⿰⺅𣑦
HZK01-CF7E	&I-HZK01-CF7E;	⿰⺅𡋲
HZK01-CFBC	&I-HZK01-CFBC;	⿰⺅⿱古可
HZK01-CFBD	&HZK01-CFBD;	⿰⺅索
HZK01-CFBE	&I-HZK01-CFBE;	⿰⺅⿹&GT-K00233;貝
HZK01-CFDB	&HZK01-CFDB;	⿰⺅栗
HZK01-CFDC	&I-HZK01-CFDC;	⿰⺅辱
HZK01-CFDD	&I-HZK01-CFDD;	⿰⺅⿱在內
HZK01-CFDE	&HZK01-CFDE;	⿰⺅夏
HZK01-CFDF	&I-HZK01-CFDF;	⿰⺅原
HZK01-CFE0	&I-HZK01-CFE0;	⿰⺅眘
HZK01-CFE2	&I-HZK01-CFE2;	⿰&CDP-8B7A;&B-ADB2;
HZK01-CFE3	&HZK01-CFE3;	⿰⺅虔
HZK01-CFE4	&HZK01-CFE4;	⿰⺅⿱攴衣
HZK01-CFE5	&I-HZK01-CFE5;	⿰&CDP-8B7A;重
HZK01-CFE6	&HZK01-CFE6;	&CDP-8B7A;丿𡈼&CDP-87C0;
HZK01-CFE7	&I-HZK01-CFE7;	⿸⿰&CDP-8B7A;攵虫
HZK01-CFEA	&I-HZK01-CFEA;	⿰⺅党
HZK01-CFFB	&HZK01-CFFB;	⿰⺅&JSP-4D39;
HZK01-CFFC	&I-HZK01-CFFC;	⿰⺅員
HZK01-CFFD	&I-HZK01-CFFD;	⿰⺅圄
HZK01-CFFE	&I-HZK01-CFFE;	⿰⺅𡇢
HZK01-D040	&I-HZK01-D040;	⿰⺅口𫶧水
HZK01-D041	&I-HZK01-D041;	⿰⺅口言
HZK01-D042	&I-HZK01-D042;	⿲⺅&CDP-8CEF;攵
HZK01-D043	&HZK01-D043;	⿰⺅氣
HZK01-D044	&HZK01-D044;	⿰⺅&B-AB41;乃
HZK01-D045	&I-HZK01-D045;	⿰⺅丿且友
HZK01-D046	&I-HZK01-D046;	⿰⺅白皮
HZK01-D048	&I-HZK01-D048;	⿰⺅&GT-25225;至
HZK01-D049	&I-HZK01-D049;	⿰⺅舀
HZK01-D04A	&HZK01-D04A;	⿰⺅&GT-25225;龴木
HZK01-D04B	&M-00981;	⿰⺅&GT-25225;龴乛小
HZK01-D04C	&HZK01-D04C;	⿰⺅&AJ1-13895;
HZK01-D04D	&I-HZK01-D04D;	⿰俗&GT-00132;
HZK01-D04E	&I-HZK01-D04E;	⿲⺅𠯌&GT-00132;
HZK01-D05C	&HZK01-D05C;	⿰⺅&B-B0A7;
HZK01-D05E	&AJ1-21148;	⿰⺅&GT-36863;
HZK01-D05F	&C6-4656;	⿰⺅旬兮
HZK01-D061	&I-HZK01-D061;	⿰⺅芻
