;; -*- coding: utf-8-mcs-er -*-
HZK03-A6D7	&HZK03-A6D7;	行钅
HZK03-A6D8	&HZK03-A6D8;	⿲彳𠫤卩
HZK03-C9AF	&HZK03-C9AF;	⿱巳其
HZK03-C9B0	&HZK03-C9B0;	⿱共包
HZK03-C9B1	&HZK03-C9B1;	⿰豖巳
HZK03-C9B2	&HZK03-C9B2;	⿳屾&GT-00458;巳
HZK03-C9B4	&HZK03-C9B4;	⿳⿰巳巳⿰千千
HZK03-C9B5	&HZK03-C9B5;	⿳⿰巳巳幵一&GT-01888;
HZK03-C9B6	&HZK03-C9B6;	告丿&GT-36329;己
HZK03-C9B7	&HZK03-C9B7;	巳&CDP-89D7;一巛&CDP-8840;
HZK03-C9B8	&HZK03-C9B8;	⿱畾巳
HZK03-C9D1	&HZK03-C9D1;	⿱弓一
HZK03-C9D2	&HZK03-C9D2;	弓一
HZK03-CA53	&I-HZK03-CA53;	弓丶
HZK03-CA54	&I-HZK03-CA54;	⿰弓&CDP-89C7;
HZK03-CA56	&I-HZK03-CA56;	弓二
HZK03-CA59	&I-HZK03-CA59;	⿰弓人
HZK03-A74F	&HZK03-A74F;	彳&GT-01888;&GT-00458;月
HZK03-A750	&HZK03-A750;	⿰彳受
HZK03-A751	&HZK03-A751;	行&GT-00521;
HZK03-A753	&HZK03-A753;	⿱徇丂
HZK03-A754	&HZK03-A754;	⿰彳匋
HZK03-A755	&HZK03-A755;	⿰彳&GT-03504;
HZK03-A757	&HZK03-A757;	彳&GT-00376;勹&GT-17214;
HZK03-A758	&HZK03-A758;	⿰彳&GT-22063;
HZK03-A75A	&HZK03-A75A;	⿰彳&M-09574;
HZK03-A75B	&HZK03-A75B;	⿰彳函
HZK03-A75C	&HZK03-A75C;	彳幺月乚
HZK03-A75D	&HZK03-A75D;	行三屮
HZK03-A76F	&HZK03-A76F;	⿰彳者
HZK03-A771	&HZK03-A771;	⿰彳郚
HZK03-A772	&HZK03-A772;	⿰彳皆
HZK03-A773	&HZK03-A773;	⿰彳&B-AD73;
HZK03-A774	&HZK03-A774;	行尖
HZK03-A775	&HZK03-A775;	⿲彳丨&CDP-8BB0;
HZK03-A776	&HZK03-A776;	⿰彳咠
HZK03-A778	&HZK03-A778;	彳𦉭寸
HZK03-A779	&HZK03-A779;	彳目支
HZK03-A77A	&HZK03-A77A;	⿰彳&GT-37971;
