;; -*- coding: utf-8-mcs-er -*-
CB00080	𡀔	⿰口路
CB00081	&I-CB00081;	⿰口銜
CB00082	&I-CB00082;	⿰口劉
CB00083	&CB00083;	⿰口蔡
CB00084	&I-CB00084;	⿰口磬
CB00085	&I-CB00085;	⿰口&GT-35788;
CB00086	&CB00086;	⿰口&MJ026218;
CB00087	&CB00087;	⿰口呰
CB00088	&CB00088;	⿰口咢
CB00089	&I-CB00089;	⿰口虒
CB00090	&I-CB00090;	⿰口恒
CB00091	&I-CB00091;	&I-CB00091;
CB00092	&I-CB00092;	⿰土屖
CB00093	&I-CB00093;	⿰土冡
CB00094	&I-CB00094;	⿰土下
CB00095	&I-CB00095;	⿰土反
CB00096	&I-CB00096;	⿰土瓦
CB00097	&I-CB00097;	⿰土岸
CB00098	&I-CB00098;	⿰土屋
CB00099	&I-CB00099;	⿰土素
CB00100	&I-CB00100;	⿰土區
CB00101	&I-CB00101;	⿰土曇
CB00102	&MJ009370;	⿰土龍
CB00103	&I-CB00103;	⿰女賛
CB00104	&I-CB00104;	⿰女⿱⿱⺈⿵&CDP-8BC0;人比
CB00105	&I-CB00105;	⿰女失
CB00106	&I-CB00106;	⿰女市
CB00107	&I-CB00107;	⿰女石
CB00108	姟	⿰女&MJ006471;
CB00109	&I-CB00109;	⿰女宅
CB00110	&I-CB00110;	⿰孑嬰
CB00111	&I-CB00111;	⿱小⿰小小
CB00112	𡰱	⿸尸工
CB00113	&I-CB00113;	⿸尸貝
CB00114	&I-CB00114;	⿰山厓
CB00115	&I-CB00115;	⿰山畏
CB00116	&I-CB00116;	⿰山&AJ1-04553;
CB00117	&I-CB00117;	⿰山間
CB00118	&CB00118;	⿱山⿰阝&C3-2546;
CB00119	&CB00119;	⿱山時
CB00120	&I-CB00120;	⿱山族
CB00121	&CB00121;	⿱山&MJ027617;
CB00122	&CB00122;	⿱山&MJ011343;
CB00123	&I-CB00123;	⿱山夆
CB00124	&I-CB00124;	⿰巾票
CB00125	&I-CB00125;	⿰亻吴
CB00126	&I-CB00126;	⿰亻妄
CB00127	&I-CB00127;	⿰亻妾
CB00128	&I-CB00128;	⿰亻&JX1-7463;
CB00129	&I-CB00129;	⿰亻易
CB00130	&I-CB00130;	⿰亻品
CB00131	&I-CB00131;	⿰亻盾
CB00132	&CB00132;	⿰亻般
CB00133	&I-CB00133;	⿰亻張
CB00134	&I-CB00134;	⿰亻貳
CB00135	&I-CB00135;	⿰亻爾
CB00136	&I-CB00136;	⿰亻監
CB00137	&I-CB00137;	⿰亻質
CB00138	&I-CB00138;	⿰亻豊
CB00139	&I-CB00139;	⿱冖⿱一豖
CB00140	&I-CB00140;	⿱&MJ007456;瓦
CB00141	&I-CB00141;	⿹勹匕
CB00142	&RUI6-E108;	⿰厄&MJ014908;
CB00143	&CB00143;	⿱夭明
CB00144	&I-CB00144;	⿱少兔
CB00145	&I-CB00145;	⿱&AJ1-02455;兔
CB00146	&I-CB00146;	⿰糸𠃌
CB00147	&I-CB00147;	⿸戶乙
CB00148	&I-CB00148;	⿸戶鳥
CB00149	&I-CB00149;	⿰斤斤
CB00150	&I-CB00150;	⿰日丙
CB00151	&I-CB00151;	⿰日&g2-AJ1-13439;
CB00152	&I-CB00152;	⿰日吿
CB00153	&I-CB00153;	⿰日英
CB00154	曢	⿰日寮
CB00155	&CB00155;	⿱曰月
CB00156	&I-CB00156;	⿱曰正
CB00157	&I-CB00157;	⿰月&CDP-8CBE;
CB00158	&I-CB00158;	⿰月不
CB00159	&CB00159;	⿰月尤
CB00160	&I-CB00160;	⿰月永
CB00161	&I-CB00161;	⿰月色
CB00162	&I-CB00162;	⿰月弟
CB00163	&I-CB00163;	⿰月者
CB00164	&I-CB00164;	⿰月&MJ012121;
CB00165	&I-CB00165;	⿰月耑
CB00166	&I-CB00166;	⿰月&MJ011018;
CB00167	&I-CB00167;	⿰月&MJ025952;
CB00168	&I-CB00168;	⿰月&C1-6636;
CB00169	&I-CB00169;	⿰月劦
CB00170	&I-CB00170;	⿰月坒
CB00171	&I-CB00171;	⿰月咢
