;; -*- coding: utf-8-mcs-er -*-
U+2CF33	𬼳	⿱麻乙
U+2CF34	𬼴	⿲乡&AJ1-01694;亍
U+2CF35	𬼵	⿱大⿺𠃊品	⿺𠃊𡙗[X]
U+2CF36	𬼶	⿱了一
U+2CF37	𬼷	⿰了丶
U+2CF38	𬼸	⿱丷亅
U+2CF39	𬼹	⿱了灬
U+2CF3A	𬼺	⿳丷&CDP-8C78;⿻冖②
U+2CF3B	𬼻	⿰予⿱一&AJ1-02304;
U+2CF3C	𬼼	⿰予賛
U+2CF3D	𬼽	⿱一丅
U+2CF3E	𬼾	⿱云井
U+2CF3F	𬼿	⿳一⿰句②一
U+2CF40	𬽀	⿱弗云
U+2CF41	𬽁	⿰云&AJ1-02065;
U+2CF42	𬽂	⿱府云
U+2CF43	𬽃	⿱&AJ1-04110;⿲㇇亅乚
U+2CF44	𬽄	⿱&AJ1-04110;火
U+2CF45	𬽅	⿱卞口
U+2CF46	𬽆	⿱&AJ1-04110;⿰夕②
U+2CF47	𬽇	⿱&AJ1-04110;𡖅
U+2CF48	𬽈	⿱&AJ1-04110;⿴且一
U+2CF49	𬽉	⿳&AJ1-04110;日了
U+2CF4A	𬽊	⿱&AJ1-04110;㫗
U+2CF4B	𬽋	⿱&AJ1-04110;⿻从山
U+2CF4C	𬽌	⿱&AJ1-04110;⿻&C3-2138;木
U+2CF4D	𬽍	⿳&AJ1-04110;⺾⿻一山
U+2CF4E	𬽎	⿱⿳&AJ1-04110;口冖戈
U+2CF4F	𬽏	⿳&AJ1-04110;央&CDP-8B67;
U+2CF50	𬽐	⿱&AJ1-04110;⿱吅&MJ006463;
U+2CF51	𬽑	⿱&AJ1-04110;&AJ1-06295;
U+2CF52	𬽒	⿱⿱&AJ1-04110;⿲刀了&CDP-89CA;二
U+2CF53	𬽓	⿰亭也
U+2CF54	𬽔	⿰&GT-17371;⿱山大
U+2CF55	𬽕	⿳&AJ1-04110;&JX2-746A;乑
U+2CF56	𬽖	⿰市來
U+2CF57	𬽗	⿰亭巴
U+2CF58	𬽘	⿳&AJ1-04110;⿶&AJ1-04248;儿冏
U+2CF59	𬽙	⿰京甫
U+2CF5A	𬽚	⿳&AJ1-04110;&MJ013525;㐱
U+2CF5B	𬽛	⿰亭曵
U+2CF5C	𬽜	⿱&AJ1-04110;維
U+2CF5D	𬽝	⿳&AJ1-04110;䀠㐱
U+2CF5E	𬽞	⿰亭&MJ025798;
U+2CF5F	𬽟	⿰&MJ006467;質
U+2CF60	𬽠	⿱&AJ1-04110;&MJ032097;
U+2CF61	𬽡	⿰&CDP-89E1;&CDP-89E1;
U+2CF62	𬽢	⿰亻㔾
U+2CF63	𬽣	⿰亻亍
U+2CF64	𬽤	⿴⿻二丨人
U+2CF65	𬽥	⿰亻下
U+2CF66	𬽦	⿰亻丸
U+2CF67	𬽧	⿰亻久
U+2CF68	𬽨	⿰亻个
U+2CF69	𬽩	⿰亻㔫
U+2CF6A	𬽪	⿰亻日
U+2CF6B	𬽫	⿰亻斗
U+2CF6C	𬽬	⿰亻户
U+2CF6D	𬽭	⿰亻夬
U+2CF6E	𬽮	⿰亻⿱一巿
U+2CF6F	𬽯	⿰亻叵
U+2CF70	𬽰	⿰亻刊
U+2CF71	𬽱	⿰亻号
U+2CF72	𬽲	⿰亻㐌
U+2CF73	𬽳	⿰亻凧
U+2CF74	𬽴	⿰亻叐
U+2CF75	𬽵	⿰亻付
U+2CF76	𬽶	⿰亻&CB00974;
U+2CF77	𬽷	⿰亻広
U+2CF78	𬽸	⿰亻⿱宀&AJ1-03708;
U+2CF79	𬽹	⿰亻𪠲
U+2CF7A	𬽺	⿰亻⿱夂刀
U+2CF7B	𬽻	⿰亻灰
U+2CF7C	𬽼	⿰亻⿱&C3-2252;一
U+2CF7D	𬽽	⿱人&AJ1-03209;
U+2CF7E	𬽾	⿰亻企
U+2CF7F	𬽿	⿰亻𠇍
U+2CF80	𬾀	⿰亻众
U+2CF81	𬾁	⿰亻𠘺
U+2CF82	𬾂	⿰令下
U+2CF83	𬾃	⿰亻⿱&MJ006463;大
U+2CF84	𬾄	⿰亻⿱厶文
U+2CF85	𬾅	⿰亻克
U+2CF86	𬾆	⿰亻劫
U+2CF87	𬾇	⿱人两
U+2CF88	𬾈	⿰亻邪
U+2CF89	𬾉	⿰亻走
U+2CF8A	𬾊	⿱亼⿰日刂
U+2CF8B	𬾋	⿰亻别
U+2CF8C	𬾌	⿰亻⿱山比
U+2CF8D	𬾍	⿰企也
U+2CF8E	𬾎	⿰亻⿱山&MJ013520;
U+2CF8F	𬾏	⿰亻⿰龵⻖
U+2CF90	𬾐	⿰亻皃
U+2CF91	𬾑	⿰亻⿰⿱𠂉巾刂
U+2CF92	𬾒	⿰亻秃
U+2CF93	𬾓	⿰亻䖝
U+2CF94	𬾔	⿰亻宎
U+2CF95	𬾕	⿱人言
U+2CF96	𬾖	⿰亻应
U+2CF97	𬾗	⿰亻⿱&AJ1-04110;矢
U+2CF98	𬾘	⿰亻⑦
U+2CF99	𬾙	⿰亻⿱&AJ1-14521;帀
U+2CF9A	𬾚	⿱代出
U+2CF9B	𬾛	⿰亻杲
U+2CF9C	𬾜	⿰亻⿱&AJ1-02221;及
U+2CF9D	𬾝	⿰亻⿱&AJ1-05604;冃
U+2CF9E	𬾞	⿰亻&MJ025798;
U+2CF9F	𬾟	⿰亻&AJ1-02420;
U+2CFA0	𬾠	⿰亻忽
U+2CFA1	𬾡	⿱伱也
U+2CFA2	𬾢	⿰亻波
U+2CFA3	𬾣	⿰亻学
U+2CFA4	𬾤	⿰亻⿱⿻了⿰口②一
U+2CFA5	𬾥	⿱⿰亻厼也
U+2CFA6	𬾦	⿰亻⿱加寸
U+2CFA7	𬾧	⿰亻叕
U+2CFA8	𬾨	⿰亻𤰅
U+2CFA9	𬾩	⿰亻⿱&AJ1-17330;且
U+2CFAA	𬾪	⿰伝另
U+2CFAB	𬾫	⿰亻⿰⿱&AJ1-01979;幺&UU+4E87;
U+2CFAC	𬾬	⿰亻&MJ025851;
U+2CFAD	𬾭	⿰亻耇
U+2CFAE	𬾮	⿱仝⿰日刂
U+2CFAF	𬾯	⿰亻&MJ021722;
U+2CFB0	𬾰	⿰亻星
U+2CFB1	𬾱	⿰&CDP-8B7A;⿸𠂋目
U+2CFB2	𬾲	⿰亻勉
U+2CFB3	𬾳	⿰亻拜
U+2CFB4	𬾴	⿰亻俟
U+2CFB5	𬾵	⿻𠈌⿻一𠀁
U+2CFB6	𬾶	⿰亻𡋛
U+2CFB7	𬾷	⿰亻&C3-2B38;
U+2CFB8	𬾸	⿰亻&AJ1-04831;
U+2CFB9	𬾹	⿰亻⿱丷&A-CDP-i001-8CDE;
U+2CFBA	𬾺	⿰&AJ1-04738;令
U+2CFBB	𬾻	⿰亻&MJ006477;
U+2CFBC	𬾼	⿰亻客
U+2CFBD	𬾽	⿱人&AJ1-01817;
U+2CFBE	𬾾	⿱人盍
U+2CFBF	𬾿	⿰亻𠳮
U+2CFC0	𬿀	⿰亻&MJ021865;
U+2CFC1	𬿁	⿰亻&MJ021897;
U+2CFC2	𬿂	⿰亻閃
U+2CFC3	𬿃	⿰&CDP-8B7A;枼
