;; -*- coding: utf-8-mcs-er -*-
HZK09-A5E6	&I-HZK09-A5E6;	⿱⺿&M-07709;
HZK09-A5E7	&I-HZK09-A5E7;	⿱⺿⿰弓邑
HZK09-A5E9	&I-HZK09-A5E9;	⿱⺿&B-B3B0;
HZK09-A5EA	&HZK09-A5EA;	⿱⺿&B-B3AE;
HZK09-A5FD	&I-HZK09-A5FD;	⿱⺿&HZK11-AFF1;
HZK09-A640	&HZK09-A640;	⿱⺿&B-B3AD;
HZK09-A642	&HZK09-A642;	⿳⺿氶皿
HZK09-A643	&I-HZK09-A643;	⿱⺿娠
HZK09-A644	&HZK09-A644;	⿱⺿娏
HZK09-A65E	&I-HZK09-A65E;	⿱⺿⿰女助
HZK09-A65F	&I-HZK09-A65F;	⿱茹水
HZK09-A662	&HZK09-A662;	⿱⺿&HZK02-E665;
HZK09-A663	&I-HZK09-A663;	⿳⺿&HZK07-E676;
HZK09-A664	&I-HZK09-A664;	⿱⺾&HZK11-E0B6;
HZK09-A665	&I-HZK09-A665;	⿱⺿㕖
HZK09-A666	&HZK09-A666;	⿱⺿⿰&GT-35079;少
HZK09-A667	&I-HZK09-A667;	⿱⺿&M-27297;
HZK09-A668	&I-HZK09-A668;	⿱⺿&GT-35177;
HZK09-A669	&I-HZK09-A669;	⿱⺿純
HZK09-A66A	&I-HZK09-A66A;	⿱⺿納
HZK09-A66D	&HZK09-A66D;	⿱⺿祥
HZK09-A66E	&I-HZK09-A66E;	⿱⺿捷
HZK09-A67E	&I-HZK09-A67E;	⿱⺿吉瓜
HZK09-A6A2	&I-HZK09-A6A2;	⿱⺿都
HZK09-A6A6	&HZK09-A6A6;	⿱⺿聃
HZK09-A6A7	&I-HZK09-A6A7;	⿱⺿基
HZK09-A6A8	&I-HZK09-A6A8;	⿱⺿&GT-37631;
HZK09-A6AB	&I-HZK09-A6AB;	⿱⺿木𠫔夫
HZK09-A6AC	&HZK09-A6AC;	⿱⺿&M-14866;
HZK09-A6AD	&I-HZK09-A6AD;	⿱⺿桼
HZK09-A6AE	&I-HZK09-A6AE;	⿳⺾&CDP-8A65;回
HZK09-A6C0	&I-HZK09-A6C0;	⿱⺿孛攵
HZK09-A6C1	&I-HZK09-A6C1;	⿱⺿戈&M-03363;
HZK09-A6C4	&I-HZK09-A6C4;	⿳⺿五吾
HZK09-A6C5	&I-HZK09-A6C5;	⿱⺿曹
HZK09-A6C7	&HZK09-A6C7;	⿱⺿&M-38897;
HZK09-A6C8	&I-HZK09-A6C8;	⿱⺿副
HZK09-A6CA	&I-HZK09-A6CA;	⿱⺿堅
HZK09-A6E0	&I-HZK09-A6E0;	⿱⺿&CDP-8DA9;
HZK09-A6E1	&I-HZK09-A6E1;	⿳⺿&B-A8B0;廾
HZK09-A6E2	&HZK09-A6E2;	⿱⺿&GT-38188;
HZK09-A6E3	&I-HZK09-A6E3;	⿱⺿⿴茂臣
HZK09-A6E4	&HZK09-A6E4;	⿱⺿戚
HZK09-A6E5	&I-HZK09-A6E5;	⿱⺿戛
HZK09-A6E6	&I-HZK09-A6E6;	⿳⺿一&GT-01888;一&CDP-8A6D;
HZK09-A6E7	&I-HZK09-A6E7;	⿳⺿一&CDP-8BFD;&GT-01888;土
HZK09-A6E8	&HZK09-A6E8;	⿱⺿𡙁
HZK09-A6E9	&I-HZK09-A6E9;	⿱⺿⿰歹&M-03363;
HZK09-C9AB	&HZK09-C9AB;	⿰&GT-35079;索
HZK09-C9AC	&I-HZK09-C9AC;	⿰索各
HZK09-C9AE	&HZK09-C9AE;	⿰纟尃
HZK09-C9AF	&HZK09-C9AF;	⿰&GT-35079;&B-B0AC;
HZK09-C9B0	&I-HZK09-C9B0;	⿰&GT-35079;栗
HZK09-C9C1	&HZK09-C9C1;	⿰纟&B-B064;
HZK09-C9C2	&I-HZK09-C9C2;	⿸厂&UU+7DCA;
HZK09-C9C4	&HZK09-C9C4;	⿰纟真
HZK09-C9C5	&I-HZK09-C9C5;	⿰&GT-35079;右冋
HZK09-C9C8	&HZK09-C9C8;	⿰&GT-35079;&GT-44176;攵
HZK09-C9CA	&I-HZK09-C9CA;	⿳日共&G0-7469;
HZK09-C9E1	&I-HZK09-C9E1;	⿰&GT-35079;晁
HZK09-C9E2	&HZK09-C9E2;	⿰&GT-35079;⿱日&GT-36832;
HZK09-C9E3	&I-HZK09-C9E3;	⿰&GT-35079;&CDP-8C48;田
HZK09-CA42	&HZK09-CA42;	⿰&GT-35079;罡
HZK09-CA44	&I-HZK09-CA44;	⿰&GT-35079;夭屰
HZK09-CA45	&HZK09-CA45;	⿰&GT-35079;叟
HZK09-CA46	&I-HZK09-CA46;	⿰&GT-35079;⿱臼木
HZK09-CA47	&HZK09-CA47;	⿰糹&GT-18893;
HZK09-CA48	&I-HZK09-CA48;	⿱𠂹&G0-7469;
HZK09-CA49	&I-HZK09-CA49;	⿰&GT-35079;⿱白石
HZK09-CA4A	&HZK09-CA4A;	⿰&GT-35079;&B-B0AD;
HZK09-CA4B	&HZK09-CA4B;	⿰&GT-35079;𣬉
HZK09-CA4C	&I-HZK09-CA4C;	⿰&GT-35079;囪廾
HZK09-CA4D	&I-HZK09-CA4D;	⿰&GT-35079;囟心
HZK09-CA4E	&HZK09-CA4E;	⿰&GT-35079;&M-32682;
HZK09-CA4F	&HZK09-CA4F;	⿰&GT-35079;従
HZK09-CA50	&HZK09-CA50;	⿰&GT-35079;&GT-07480;
HZK09-CA51	&I-HZK09-CA51;	⿱&GT-25225;&GT-35315;
HZK09-CA53	&HZK09-CA53;	⿰&GT-35079;㐅木&GT-21300;
HZK09-CA54	&I-HZK09-CA54;	仌人⿱人人&G0-7469;
HZK09-CA56	&I-HZK09-CA56;	⿰&GT-35079;⿹勹凵干&GT-10942;
HZK09-A6EA	&I-HZK09-A6EA;	⿱⺿&GT-21131;
HZK09-A6EB	&HZK09-A6EB;	⿱⺿&B-B3BC;
HZK09-A6EC	&I-HZK09-A6EC;	⿳&JSP-573B;且&GT-01888;
HZK09-A6EE	&I-HZK09-A6EE;	⿱⺿&M-38872;
HZK09-A6EF	&I-HZK09-A6EF;	⿱⺿&CDP-8DAC;㔾开
HZK09-A6F1	&I-HZK09-A6F1;	⿱⺿&GT-44176;匆
HZK09-A741	&I-HZK09-A741;	⿳⺿日&CDP-88FE;
HZK09-A743	&I-HZK09-A743;	⿱⺿日旱
HZK09-A761	&I-HZK09-A761;	⿱⺿晜
HZK09-A763	&I-HZK09-A763;	⿳⺿&CDP-8C48;回
HZK09-A764	&I-HZK09-A764;	⿱⺿田土寸
HZK09-A7A3	&I-HZK09-A7A3;	⿱&CDP-8D60;戈
HZK09-A7A4	&I-HZK09-A7A4;	⿱⺿崔
HZK09-A7A6	&I-HZK09-A7A6;	⿱⺿囗炎
HZK09-A7A8	&HZK09-A7A8;	⿱⺿缶且
HZK09-A7A9	&HZK09-A7A9;	⿱⺿造
HZK09-A7AA	&I-HZK09-A7AA;	⿱⺿舌瓜
HZK09-A7AB	&HZK09-A7AB;	⿱⺿犁
HZK09-A7AC	&I-HZK09-A7AC;	⿱⺿禾&CDP-8CC0;
HZK09-A7AD	&HZK09-A7AD;	⿱⺿移
HZK09-A7AE	&I-HZK09-A7AE;	⿱⺿偶
HZK09-A7AF	&I-HZK09-A7AF;	⿱⺿偷
HZK09-A7B0	&I-HZK09-A7B0;	⿱⺿⿺⻍皁
HZK09-A7B1	&HZK09-A7B1;	⿱⺿白百
HZK09-A7B2	&I-HZK09-A7B2;	⿱艸白&CDP-8DBF;
HZK09-A7C3	&I-HZK09-A7C3;	⿱⺿兜
HZK09-A7C5	&HZK09-A7C5;	⿱⺿亻⿰厶厶儿夊
HZK09-A7C6	&I-HZK09-A7C6;	⿱⺿&B-B34E;
HZK09-A7C9	&I-HZK09-A7C9;	⿱⺿覓
HZK09-A7CA	&HZK09-A7CA;	⿱⺿&B-B3A8;
HZK09-A7CB	&HZK09-A7CB;	⿱⺿斜
HZK09-A7CC	&I-HZK09-A7CC;	⿱⺾&CDP-8AFC;&CDP-89B2;一攵
HZK09-A7CD	&I-HZK09-A7CD;	⿳⺿&GT-00458;田日
HZK09-A7CE	&I-HZK09-A7CE;	⿱⺿悉
HZK09-A7CF	&HZK09-A7CF;	⿳⺿&CDP-8DF9;人亏
HZK09-A7D0	&HZK09-A7D0;	⿱⺿&GT-38226;
