;; -*- coding: utf-8-mcs-er -*-
HZK02-A445	&I-HZK02-A445;	⿱⺊厈
HZK02-A446	&I-HZK02-A446;	允干
HZK02-A447	&I-HZK02-A447;	⿱𡗜干
HZK02-A463	&I-HZK02-A463;	⿳⿰口口干
HZK02-A464	&I-HZK02-A464;	⿳⿲人人人干
HZK02-A465	&I-HZK02-A465;	⿲干弓干
HZK02-A466	&I-HZK02-A466;	⿰吾干
HZK02-A467	&I-HZK02-A467;	⿱幵并
HZK02-A468	&I-HZK02-A468;	⿰曷干
HZK02-A469	&I-HZK02-A469;	是干
HZK02-A46A	&I-HZK02-A46A;	⿱幵束
HZK02-C94A	&I-HZK02-C94A;	⿱下口
HZK02-C94B	&I-HZK02-C94B;	⿰口下
HZK02-A4A5	&I-HZK02-A4A5;	⿰由并
HZK02-A4A6	&I-HZK02-A4A6;	久巨并
HZK02-A4A7	&I-HZK02-A4A7;	⿰&CDP-8947;开
HZK02-A4A8	&I-HZK02-A4A8;	&GT-36329;干東
HZK02-A4A9	&I-HZK02-A4A9;	⿲⿱束束幵
HZK02-A4C7	&I-HZK02-A4C7;	⿰工𠃌
HZK02-A4C8	&I-HZK02-A4C8;	⿱工乚
HZK02-A4E6	&I-HZK02-A4E6;	⿲工亅乚
HZK02-A4E7	&I-HZK02-A4E7;	⿱工&CDP-89AB;
HZK02-A4E8	&I-HZK02-A4E8;	⿰工丩
HZK02-C94D	&HZK02-C94D;	⿰口&CDP-8773;
HZK02-C94E	&I-HZK02-C94E;	⿱口廾
HZK02-C94F	&I-HZK02-C94F;	⿰口大
HZK02-C950	&I-HZK02-C950;	⿱口大
HZK02-C951	&I-HZK02-C951;	⿰口兀
HZK02-C952	&I-HZK02-C952;	⿰口上
HZK02-C953	&I-HZK02-C953;	⿱上口
HZK02-C954	&I-HZK02-C954;	⿰口口
HZK02-A546	&I-HZK02-A546;	⿰工丮
HZK02-A547	&HZK02-A547;	⿱工&CDP-89CE;
HZK02-A548	&I-HZK02-A548;	⿱龵左
HZK02-A566	&I-HZK02-A566;	⿱左左
HZK02-A567	&I-HZK02-A567;	&CDP-8DF9;工
HZK02-A568	&I-HZK02-A568;	&CDP-89E1;工&AJ1-04110;厶𫶧
HZK02-A56A	&I-HZK02-A56A;	⿱工&CDP-854D;
HZK02-A56B	&I-HZK02-A56B;	𠂹丆工
HZK02-A56C	&I-HZK02-A56C;	⿰普工
HZK02-A56D	&I-HZK02-A56D;	⿱法空
HZK02-A56E	&I-HZK02-A56E;	&CDP-865B;⿰目目工
HZK02-A56F	&I-HZK02-A56F;	&CDP-87DD;⿰目目仝
HZK02-A5EB	&I-HZK02-A5EB;	⺄土
HZK02-A5EC	&I-HZK02-A5EC;	⿰土十
HZK02-A5EE	&I-HZK02-A5EE;	⿰土厂
HZK02-A5EF	&I-HZK02-A5EF;	&CDP-8B5F;土
HZK02-A5F0	&I-HZK02-A5F0;	⿰土卜
HZK02-A5F1	&I-HZK02-A5F1;	⿱土&CDP-8BC0;
HZK02-A5F3	&I-HZK02-A5F3;	⿱土凵
HZK02-A5F4	&I-HZK02-A5F4;	⿰土力
HZK02-A5F5	&I-HZK02-A5F5;	⿱刀士
HZK02-A64B	𡉎	⿰土工
HZK02-A64C	&I-HZK02-A64C;	⿱工土
HZK02-A64E	&I-HZK02-A64E;	&CDP-87A9;土
HZK02-A669	&I-HZK02-A669;	⿳一八土
HZK02-A66A	&I-HZK02-A66A;	⿱大土
HZK02-A66B	&I-HZK02-A66B;	⿰土大
HZK02-A66C	&I-HZK02-A66C;	⿰土上
HZK02-A66E	&I-HZK02-A66E;	⿱土𠔼
HZK02-A66F	&I-HZK02-A66F;	⿰土千
HZK02-A670	&I-HZK02-A670;	⿰千土
HZK02-A6AB	&I-HZK02-A6AB;	⿰土乇
HZK02-A6AC	&I-HZK02-A6AC;	⿰土&CDP-8AF0;
HZK02-A6B0	&AJ1-02774;	⿰丬土
HZK02-A6B1	&I-HZK02-A6B1;	⿰土广
HZK02-A6B2	&I-HZK02-A6B2;	⿱士尸
HZK02-A6B3	&I-HZK02-A6B3;	⿱土女
HZK02-A6CB	&I-HZK02-A6CB;	⿰土𠃓
HZK02-A6CC	&I-HZK02-A6CC;	⿱&C1-4443;土
HZK02-A6CD	&I-HZK02-A6CD;	⿰土亓
HZK02-A6CE	&I-HZK02-A6CE;	⿱亓土
HZK02-A6CF	&I-HZK02-A6CF;	⿰土井
HZK02-A6D0	&I-HZK02-A6D0;	⿱井土
HZK02-A6D1	&I-HZK02-A6D1;	⿰土元
HZK02-A6D2	&I-HZK02-A6D2;	⿱元土
HZK02-A6D3	&I-HZK02-A6D3;	⿰土云
HZK02-A6D4	&I-HZK02-A6D4;	⿳土一&CDP-85C0;
HZK02-C9AD	&I-HZK02-C9AD;	⿰口山
HZK02-C9AE	&I-HZK02-C9AE;	⿰口千
HZK02-C9AF	&I-HZK02-C9AF;	⿱丿右
HZK02-C9B2	&HZK02-C9B2;	⿰口川
HZK02-CA4D	&I-HZK02-CA4D;	⿰口凡
HZK02-CA4E	&I-HZK02-CA4E;	⿰口么
HZK02-CA4F	&I-HZK02-CA4F;	⿰口&GT-00132;
HZK02-CA50	&HZK02-CA50;	⿱&GT-00132;口
HZK02-CA51	&I-HZK02-CA51;	⿰口勺
HZK02-A6EB	&I-HZK02-A6EB;	⿰土犬
HZK02-A6EC	&I-HZK02-A6EC;	⿰土太
HZK02-A6ED	&I-HZK02-A6ED;	土厂力
HZK02-A6EE	&I-HZK02-A6EE;	⿰土牙
HZK02-A6F0	&I-HZK02-A6F0;	⿱屯土
HZK02-A6F1	&I-HZK02-A6F1;	⿰土比
HZK02-A6F3	&I-HZK02-A6F3;	⿱旡土
HZK02-A6F4	&I-HZK02-A6F4;	⿰土互
HZK02-A6F5	&I-HZK02-A6F5;	土一幺
HZK02-A6F6	&I-HZK02-A6F6;	⿳一巛土
HZK02-A6F8	&I-HZK02-A6F8;	&CDP-8969;又土
HZK02-A6F9	&I-HZK02-A6F9;	⿰土日
HZK02-A6FA	&I-HZK02-A6FA;	⿱日土
HZK02-A6FB	&I-HZK02-A6FB;	⿰土贝
HZK02-A6FC	&I-HZK02-A6FC;	⿰土內
HZK02-A6FD	&I-HZK02-A6FD;	⿱水土
HZK02-A74C	&I-HZK02-A74C;	冂又土
HZK02-A74D	&I-HZK02-A74D;	⿰土牛
HZK02-A74E	&I-HZK02-A74E;	⿰&C1-4464;土
HZK02-A74F	&I-HZK02-A74F;	⿰土毛
HZK02-A750	&I-HZK02-A750;	土𠂉一乙
HZK02-A751	&I-HZK02-A751;	⿰土攵
HZK02-A753	&I-HZK02-A753;	⿱爪土
HZK02-A754	&HZK02-A754;	⿰土反
HZK02-A755	&I-HZK02-A755;	反土
HZK02-A756	&I-HZK02-A756;	⿰土介
HZK02-A76D	&I-HZK02-A76D;	⿱凶土
HZK02-A7AE	&I-HZK02-A7AE;	⿰土冄
HZK02-A7B0	&I-HZK02-A7B0;	⿰土勿
HZK02-A7CE	&I-HZK02-A7CE;	⿱勻土
HZK02-A7CF	&I-HZK02-A7CF;	土&CDP-89DE;一
HZK02-A7D0	&I-HZK02-A7D0;	⿰土卬
HZK02-A7D2	&I-HZK02-A7D2;	⿰土&MJ014908;
HZK02-A7D3	&I-HZK02-A7D3;	⿰土勾
HZK02-A7D4	&I-HZK02-A7D4;	土勹又
HZK02-A7D5	&I-HZK02-A7D5;	⿰土文
HZK02-A7EF	&HZK02-A7EF;	⿱&MJ006462;壬
HZK02-A7F0	&I-HZK02-A7F0;	⿰土斗
