;; -*- coding: utf-8-mcs-er -*-
U+300A7	𰂧	⿳人口⿱&GT-K00859;土
U+300A8	𰂨	⿰亻追
U+300A9	𰂩	⿰亻祖
U+300AA	𰂪	⿰亻敗
U+300AB	𰂫	⿰亻⿱小物
U+300AC	𰂬	⿰亻𭦌
U+300AD	𰂭	⿰亻赐
U+300AE	𰂮	⿰亻⿳止⿰二二⿱一𣥂
U+300AF	𰂯	⿰亻筆
U+300B0	𰂰	⿰亻普
U+300B1	𰂱	⿰亻掌
U+300B2	𰂲	⿰亻覚
U+300B3	𰂳	⿰亻運
U+300B4	𰂴	⿰亻爺
U+300B5	𰂵	⿱𠆢愁
U+300B6	𰂶	⿰亻裏
U+300B7	𰂷	⿰亻資
U+300B8	𰂸	⿰亻⿳丷罒𧰨
U+300B9	𰂹	⿰亻弿
U+300BA	𰂺	⿰倒吉
U+300BB	𰂻	⿰亻𬂉
U+300BC	𰂼	⿰亻⿳兑⺈兄
U+300BD	𰂽	⿱佛界
U+300BE	𰂾	⿰亻奭
U+300BF	𰂿	⿰來廻
U+300C0	𰃀	⿰亻審
U+300C1	𰃁	⿰亻熟
U+300C2	𰃂	⿰亻熹
U+300C3	𰃃	⿱勒余
U+300C4	𰃄	⿰來倒
U+300C5	𰃅	⿰亻穎
U+300C6	𰃆	⿰亻赞
U+300C7	𰃇	⿰亻翼
U+300C8	𰃈	⿱佛衆
U+300C9	𰃉	⿰亻顥
U+300CA	𰃊	⿺儿上
U+300CB	𰃋	⿱乃兄
U+300CC	𰃌	⿺光力
U+300CD	𰃍	⿱古光
U+300CE	𰃎	⿱白児
U+300CF	𰃏	⿺元重
U+300D0	𰃐	⿰光尨
U+300D1	𰃑	⿰光油
U+300D2	𰃒	⿰光忽
U+300D3	𰃓	⿰宜⿳丿罒儿
U+300D4	𰃔	⿰光党
U+300D5	𰃕	⿰光電
U+300D6	𰃖	⿱入井
U+300D7	𰃗	⿱𠓝月
U+300D8	𰃘	⿱入尖
U+300D9	𰃙	⿱后入
U+300DA	𰃚	⿱入車
U+300DB	𰃛	⿰豆入
U+300DC	𰃜	⿰入枼
U+300DD	𰃝	⿱䒑⿹𠀁丶
U+300DE	𰃞	⿱𠂉六
U+300DF	𰃟	⿺巴八
U+300E0	𰃠	⿰公内
U+300E1	𰃡	⿱别八
U+300E2	𰃢	⿰兮旬
U+300E3	𰃣	⿰六合
U+300E4	𰃤	⿱&A-U-i002+9FB9;丑
U+300E5	𰃥	⿰六要
U+300E6	𰃦	⿱丿冂
U+300E7	𰃧	⿵冂壬
U+300E8	𰃨	⿵冂⿰冫又
U+300E9	𰃩	⿵冂昔
U+300EA	𰃪	⿵冂⿱巛正
U+300EB	𰃫	⿰害冂
U+300EC	𰃬	⿰㒼今
U+300ED	𰃭	⿱⿵冂乆⿰⿵冂乆⿵冂乆
U+300EE	𰃮	⿱⺍冖
U+300EF	𰃯	⿱冖平
U+300F0	𰃰	⿱冖由
U+300F1	𰃱	⿱冖甾
U+300F2	𰃲	⿱冖淋
U+300F3	𰃳	⿱冖赣
U+300F4	𰃴	⿱冖贛
U+300F5	𰃵	⿰冫十
U+300F6	𰃶	⿰冫风
U+300F7	𰃷	⿰冫仓
U+300F8	𰃸	⿰冫户
U+300F9	𰃹	⿰冫立
U+300FA	𰃺	⿰冫皮
U+300FB	𰃻	⿰冫毕
U+300FC	𰃼	⿰冫夷
U+300FD	𰃽	⿰冫旬
U+300FE	𰃾	⿰冫良
U+300FF	𰃿	⿰冫卖
U+30100	𰄀	⿰冫拉
U+30101	𰄁	⿰冫参
U+30102	𰄂	⿰冫哉
U+30103	𰄃	⿰冫厘
U+30104	𰄄	⿰冫前
U+30105	𰄅	⿰冫索
U+30106	𰄆	⿰冫党
U+30107	𰄇	⿱冷尼
U+30108	𰄈	⿰冫雪
U+30109	𰄉	⿰冲甬
U+3010A	𰄊	⿰冫習
U+3010B	𰄋	⿱冲東
U+3010C	𰄌	⿰冫腊
U+3010D	𰄍	⿰冫逹
U+3010E	𰄎	⿰净肖
U+3010F	𰄏	⿰冫魯
U+30110	𰄐	⿵𠘨侖
U+30111	𰄑	⿰入凹
U+30112	𰄒	⿱凹与
U+30113	𰄓	⿰凸冬
U+30114	𰄔	⿰出出
U+30115	𰄕	⿰出存
U+30116	𰄖	⿱独凸
U+30117	𰄗	⿰凸恶
U+30118	𰄘	⿰出斊
U+30119	𰄙	⿰八刂
U+3011A	𰄚	⿰刁刂
U+3011B	𰄛	⿰刀勺
U+3011C	𰄜	⿰忄刂
U+3011D	𰄝	⿰𠃓刂
U+3011E	𰄞	⿰专刂
U+3011F	𰄟	⿰不刂
U+30120	𰄠	⿰云刀
U+30121	𰄡	⿰刀勿
U+30122	𰄢	⿰文刀
U+30123	𰄣	⿱北刀
U+30124	𰄤	⿰刀包
U+30125	𰄥	⿰刃文
U+30126	𰄦	⿱立刀
U+30127	𰄧	⿰刀列
U+30128	𰄨	⿰𡗢刂
U+30129	𰄩	⿰自刂
U+3012A	𰄪	⿰杀刀
U+3012B	𰄫	⿰刀向
U+3012C	𰄬	⿰达刂
U+3012D	𰄭	⿰丽刂
U+3012E	𰄮	⿰刀求
U+3012F	𰄯	⿰来刂
U+30130	𰄰	⿰廷刂
U+30131	𰄱	⿰分本
U+30132	𰄲	⿰刍少
U+30133	𰄳	⿱坦刀
U+30134	𰄴	⿰奄刀
U+30135	𰄵	⿱刹刀
U+30136	𰄶	⿰刀参
U+30137	𰄷	⿰刀括
U+30138	𰄸	⿰刀則
U+30139	𰄹	⿰則刀
U+3013A	𰄺	⿰帝刂
U+3013B	𰄻	⿰連刂
U+3013C	𰄼	⿱刹旦
U+3013D	𰄽	⿱断刀
U+3013E	𰄾	⿰𠁊刂
U+3013F	𰄿	⿰壹刀
U+30140	𰅀	⿰刀森
U+30141	𰅁	⿰刀割
