;; -*- coding: utf-8-mcs-er -*-
U+2B8BB	𫢻	⿰亻𬎾
U+2B8BC	𫢼	⿱台代
U+2B8BD	𫢽	⿲亻⿱一𫩏攵
U+2B8BE	𫢾	⿰亻柏
U+2B8BF	𫢿	⿱⿳𠆢丅万収
U+2B8C0	𫣀	⿰亻歪
U+2B8C1	𫣁	⿰亻⿱口早
U+2B8C2	𫣂	⿰亻盈
U+2B8C3	𫣃	⿰令安
U+2B8C4	𫣄	⿰亻𧥢
U+2B8C5	𫣅	⿰亻豈
U+2B8C6	𫣆	⿰亻恩
U+2B8C7	𫣇	⿰侣攴
U+2B8C8	𫣈	⿰侣攵
U+2B8C9	𫣉	⿰亻监
U+2B8CA	𫣊	⿰亻爱
U+2B8CB	𫣋	⿰亻⿳白一友
U+2B8CC	𫣌	⿰亻羗
U+2B8CD	𫣍	⿳𠆢㓙月	⿱𠆢𦚾
U+2B8CE	𫣎	⿰亻⿳冖⿺𠃊目八
U+2B8CF	𫣏	⿰亻竜
U+2B8D0	𫣐	⿰亻衰
U+2B8D1	𫣑	⿰亻軟
U+2B8D2	𫣒	⿰亻亀
U+2B8D3	𫣓	⿰亻得
U+2B8D4	𫣔	⿰亻⿱舛田
U+2B8D5	𫣕	⿰亻冨
U+2B8D6	𫣖	⿰亻張
U+2B8D7	𫣗	⿰亻覃
U+2B8D8	𫣘	⿱合⿰丰丰
U+2B8D9	𫣙	⿰來吏
U+2B8DA	𫣚	⿰吏來
U+2B8DB	𫣛	⿰佥佥
U+2B8DC	𫣜	⿰亻𢛳
U+2B8DD	𫣝	⿰侖全
U+2B8DE	𫣞	⿰亻虛
U+2B8DF	𫣟	⿰亻菊
U+2B8E0	𫣠	⿰亻智
U+2B8E1	𫣡	⿰亻富
U+2B8E2	𫣢	⿰亻蛮
U+2B8E3	𫣣	⿰亻碍
U+2B8E4	𫣤	⿰亻葦
U+2B8E5	𫣥	⿰亻蒂
U+2B8E6	𫣦	⿰亻葶
U+2B8E7	𫣧	⿰亻置
U+2B8E8	𫣨	⿰亻鼎
U+2B8E9	𫣩	⿰亻新
U+2B8EA	𫣪	⿰偏少
U+2B8EB	𫣫	⿰亻数
U+2B8EC	𫣬	⿰亻⿱享示
U+2B8ED	𫣭	⿱代異
U+2B8EE	𫣮	⿳余册収
U+2B8EF	𫣯	⿱保利
U+2B8F0	𫣰	⿰伸爰
U+2B8F1	𫣱	⿱偏乏
U+2B8F2	𫣲	⿰亻賫
U+2B8F3	𫣳	⿰亻辳
U+2B8F4	𫣴	⿰亻賢
U+2B8F5	𫣵	⿰似眞
U+2B8F6	𫣶	⿰亻靠
U+2B8F7	𫣷	⿰亻寛
U+2B8F8	𫣸	⿰僧士
U+2B8F9	𫣹	⿰合喬
U+2B8FA	𫣺	⿰亻靜
U+2B8FB	𫣻	⿰亻賴
U+2B8FC	𫣼	⿰亻霖
U+2B8FD	𫣽	⿰盒𫔭
U+2B8FE	𫣾	⿰亻蕉
U+2B8FF	𫣿	⿰買𠇍
U+2B900	𫤀	⿰亻⿳山自貝
U+2B901	𫤁	⿰倘直
U+2B902	𫤂	⿰亻興
U+2B903	𫤃	⿰亻壁
U+2B904	𫤄	⿰使推
U+2B905	𫤅	⿱㑛孫
U+2B906	𫤆	⿰⿳亼米口𠬶
U+2B907	𫤇	⿰亻還
U+2B908	𫤈	⿱俗退
U+2B909	𫤉	⿰傾呂
U+2B90A	𫤊	⿲畐亻畐
U+2B90B	𫤋	⿱語𠇩
U+2B90C	𫤌	⿰亻𫿞
U+2B90D	𫤍	⿱全論
U+2B90E	𫤎	⿱傾征
U+2B90F	𫤏	⿰傾迎
U+2B910	𫤐	⿰亻簽
U+2B911	𫤑	⿰偏隻
U+2B912	𫤒	⿰傾荣
U+2B913	𫤓	⿰傾退
U+2B914	𫤔	⿰亻鶯
U+2B915	𫤕	⿰傾票
U+2B916	𫤖	⿰亻巖
U+2B917	𫤗	⿱⿰𠃊日儿
U+2B918	𫤘	⿳丿罒儿
U+2B919	𫤙	⿰元它
U+2B91A	𫤚	⿰光令
U+2B91B	𫤛	⿰兑丰
U+2B91C	𫤜	⿺兄弟
U+2B91D	𫤝	⿰甹兄
U+2B91E	𫤞	⿺元首
U+2B91F	𫤟	⿰兄皇
U+2B920	𫤠	⿺先昆
U+2B921	𫤡	⿰光累
U+2B922	𫤢	⿰先産
U+2B923	𫤣	⿺堯吉
U+2B924	𫤤	⿰光創
U+2B925	𫤥	⿺光⿱日隹
U+2B926	𫤦	⿰光堯
U+2B927	𫤧	⿰⿳丅酉凶兇
U+2B928	𫤨	⿰光曅
U+2B929	𫤩	⿰内夛
U+2B92A	𫤪	⿰全全
U+2B92B	𫤫	⿱八丏
U+2B92C	𫤬	⿴&CDP-89AE;八
U+2B92D	𫤭	⿱&U-i001+56DF;&GT-K00264;
U+2B92E	𫤮	⿱八⿻𦥑丨
U+2B92F	𫤯	⿰参八
U+2B930	𫤰	⿶⿱⿰〢⺕&GT-K00264;&CDP-8BC2;
U+2B931	𫤱	⿰其丮
U+2B932	𫤲	⿱八啚
U+2B933	𫤳	⿰⿱丷⿳⿴&CDP-8BC8;丨日旡末
U+2B934	𫤴	⿰其章
U+2B935	𫤵	⿱𤕰𪦾
U+2B936	𫤶	⿱戠𬐧
U+2B937	𫤷	⿰岡去
U+2B938	𫤸	⿳冖一见
U+2B939	𫤹	⿱冖辰
U+2B93A	𫤺	⿱冖含
U+2B93B	𫤻	⿱冖睘
U+2B93C	𫤼	⿱冖爵
U+2B93D	𫤽	⿱冖𫎬
U+2B93E	𫤾	⿰冫乙
U+2B93F	𫤿	⿰冫于
U+2B940	𫥀	⿰冫市
U+2B941	𫥁	⿰冫斤
U+2B942	𫥂	⿰冫月
U+2B943	𫥃	⿰冫尹
U+2B944	𫥄	⿰冫占
U+2B945	𫥅	⿰冫央
U+2B946	𫥆	⿰冫永
U+2B947	𫥇	⿰冫氷
U+2B948	𫥈	⿰冫召
U+2B949	𫥉	⿰冫旨
U+2B94A	𫥊	⿰冫危
U+2B94B	𫥋	⿰冫艮
U+2B94C	𫥌	⿰冫弄
U+2B94D	𫥍	⿰冫严
U+2B94E	𫥎	⿱免⺀
U+2B94F	𫥏	⿰冫枚
U+2B950	𫥐	⿰冫㝵
U+2B951	𫥑	⿰冫剌
U+2B952	𫥒	⿰冫⿱⿱卜𦉫大
U+2B953	𫥓	⿰冫俞
U+2B954	𫥔	⿰冫亲
U+2B955	𫥕	⿰冷甘
U+2B956	𫥖	⿰冷外
U+2B957	𫥗	⿰冫欵
U+2B958	𫥘	⿰冷吉
U+2B959	𫥙	⿰冫尌
U+2B95A	𫥚	⿰冫粲
U+2B95B	𫥛	⿰冫喿
U+2B95C	𫥜	⿰冷卒
U+2B95D	𫥝	⿰冫親
U+2B95E	𫥞	⿵𠘨帀
U+2B95F	𫥟	⿵几⿱一女
U+2B960	𫥠	⿺凢赤
U+2B961	𫥡	⿱⿲匕白匕几
U+2B962	𫥢	⿱⿲土白匕几
U+2B963	𫥣	⿰兼凢
U+2B964	𫥤	⿰出丙
U+2B965	𫥥	⿰㐫尽
U+2B966	𫥦	⿳乛酉凶
U+2B967	𫥧	⿰出⿱罒廾
U+2B968	𫥨	⿱𦉼出
U+2B969	𫥩	⿰㐫吾
U+2B96A	𫥪	⿰㐫⿳⿰〢𰀁一八
U+2B96B	𫥫	⿰屋出
U+2B96C	𫥬	⿰出草
U+2B96D	𫥭	⿱滿出
U+2B96E	𫥮	⿰㐫⿳⿴&CDP-89AE;同一八
U+2B96F	𫥯	⿱⿵尺丶⿶凵田尾
U+2B970	𫥰	⿰刀大
U+2B971	𫥱	⿰刀子
U+2B972	𫥲	⿱太刀
U+2B973	𫥳	⿰历刂
U+2B974	𫥴	⿺巴刀
U+2B975	𫥵	⿰厉刂
U+2B976	𫥶	⿰平刂
U+2B977	𫥷	⿰凸刂
U+2B978	𫥸	⿰刀占
U+2B979	𫥹	⿰⿲丨大丨刂
U+2B97A	𫥺	⿰业刂
U+2B97B	𫥻	⿰刂令
U+2B97C	𫥼	⿰亚刂
U+2B97D	𫥽	⿰乔刂
U+2B97E	𫥾	⿰米刂
U+2B97F	𫥿	⿰交刀
U+2B980	𫦀	⿰豕刂
U+2B981	𫦁	⿰⿱⺌贝刂
U+2B982	𫦂	⿰叀刂
U+2B983	𫦃	⿰奔刂
U+2B984	𫦄	⿰宜刂
U+2B985	𫦅	⿰肃刂
U+2B986	𫦆	⿰俎刂
U+2B987	𫦇	⿰分沔
U+2B988	𫦈	⿰卒刄
U+2B989	𫦉	⿰娄刂
U+2B98A	𫦊	⿰音刂
U+2B98B	𫦋	⿱将刀
U+2B98C	𫦌	⿱绝刀
U+2B98D	𫦍	⿳𦣻大刀
U+2B98E	𫦎	⿰索刂
U+2B98F	𫦏	⿰拿刂
U+2B990	𫦐	⿰𥥗刂
U+2B991	𫦑	⿰羔刀
U+2B992	𫦒	⿰第刂
U+2B993	𫦓	⿱族刀
U+2B994	𫦔	⿰將刀
U+2B995	𫦕	⿰䓨刂
U+2B996	𫦖	⿰菐刂
U+2B997	𫦗	⿰多𠛫
U+2B998	𫦘	⿰⿱⿳𠂊四⿺儿丶夕刀
U+2B999	𫦙	⿰喬刂
U+2B99A	𫦚	⿰葍刂
U+2B99B	𫦛	⿰⿱𠧪吕刂
U+2B99C	𫦜	⿰𬄜刂
U+2B99D	𫦝	⿰⿱䇤田刂
U+2B99E	𫦞	⿰龍刂
U+2B99F	𫦟	⿰韱刂
U+2B9A0	𫦠	⿰⿱㞢屮剴
U+2B9A1	𫦡	⿰⿱晶俎刂
U+2B9A2	𫦢	⿱碎割
U+2B9A3	𫦣	⿰鼈刂
U+2B9A4	𫦤	⿱力一
U+2B9A5	𫦥	⿱加一
U+2B9A6	𫦦	⿰左力
U+2B9A7	𫦧	⿰力乏
U+2B9A8	𫦨	⿰米力
U+2B9A9	𫦩	⿰两力
U+2B9AA	𫦪	⿰肙力
U+2B9AB	𫦫	⿱⿰力田𠂇
U+2B9AC	𫦬	⿺九助
U+2B9AD	𫦭	⿰力良
