Radical ID#,Stroke#,Radical,Meaning,Reading-J,Reading-R,R-Filename,Anim-Filename,Position-J,Position-R
271,8,非,"wrong, non-",あらず,arazu,,,,
272,8,飠,"food, to eat",しょくへん,shokuhen,,,へん,hen
273,8,斉,alike,せい,sei,,,,
274,9,面,"face, surface",めん,men,,,,
275,9,革,leather,つくりがわ,tsukurigawa,,,,
276,9,,leather,なめしがわ,nameshigawa,,,,
277,9,韭,leek,にら,nira,,,,
278,9,音,"sound, noise",おと,oto,,,,
279,9,頁,"head, page",おおがい,oogai,,,つくり,tsukuri
280,9,風,wind,かぜ,kaze,,,,
281,9,飛,to fly,とぶ,tobu,,,,
282,9,食,"food, to eat",しょく,shoku,,,,
283,9,首,head,くび,kubi,,,,
284,9,香,scent,かおり,kaori,,,,
285,10,馬,horse,うま,uma,,,,
286,10,,horse,うまへん,umahen,,,へん,hen
287,10,骨,bone,ほね,hone,,,,
288,10,,bone,ほねへん,honehen,,,へん,hen
289,10,高,high,たかい,takai,,,,
290,10,髟,long hair,かみかんむり,kamikanmuri,,,かんむり,kanmuri
291,10,鬥,fighting,たたかいがまえ,tatakaigamae,,,かまえ,kamae
292,10,鬯,herbs,においざけ,nioizake,,,,
293,10,鬲,tripod,れき,reki,,,,
294,10,鬼,demon,おに,oni,,,,
295,10,韋,leather,なめしがわ,nameshigawa,,,,
296,11,魚,fish,うお,uo,,,,
297,11,,fish,うおへん,uohen,,,へん,hen
298,11,鳥,bird,とり,tori,,,,
299,11,鹵,salt,しお,shio,,,,
300,11,鹿,deer,しか,shika,,,,
301,11,麥,wheat,むぎ,mugi,,,,
302,11,麻,hemp,あさ,asa,,,,
303,11,,hemp,あさかんむり,asakanmuri,,,かんむり,kanmuri
304,11,黄,yellow,き,ki,ki-yellow,,,
305,11,黒,black,くろ,kuro,,,,
306,11,亀,turtle,かめ,kame,,,,
307,12,黃,yellow,き,ki,,,,
308,12,黍,millet,きび,kibi,,,,
309,12,黑,black,くろ,kuro,,,,
310,12,黹,embroider,ぬいとり,nuitori,,,,
311,12,歯,tooth,は,ha,,,,
312,13,黽,frog,かえる,kaeru,,,,
313,13,鼎,tripod,かなえ,kanae,,,,
314,13,鼓,drum,つづみ,tuzumi,,,,
315,13,鼠,"rat, mouse",ねずみ,nezumi,,,,
316,14,鼻,nose,はな,hana,,,,
317,14,齊,alike,せい,sei,,,,
318,15,齒,tooth,は,ha,,,,
319,16,龍,dragon,りゅう,ryuu,,,,
320,16,龜,turtle,かめ,kame,,,,
321,17,龠,flute,やく,yaku,,,,
322,n/a,々,n/a,n/a,n/a,,,,
